,word,relevance_score
0,"('religious', 'coalition', 'reproductive')",2.0648126950851298
1,"('coalition', 'reproductive', 'choice')",2.0648126950851298
2,"('abortion', 'rights', 'movement')",1.738356898272571
3,"('naral', 'prochoice', 'america')",1.738356898272571
4,"('national', 'abortion', 'federation')",1.738356898272571
5,"('support', 'abortion', 'rights')",2.0980239881878137e-05
6,"('women', 'have', 'choice')",2.046042482914914e-05
7,"('organizations', 'also', 'support')",1.043188678936465e-05
8,"('prochoice', 'america', 'foundation')",1.043188678936465e-05
9,"('america', 'foundation', 'advocates')",1.043188678936465e-05
10,"('abortion', 'birth', 'control')",1.043188678936465e-05
11,"('support', 'each', 'woman')",1.043188678936465e-05
12,"('whole', 'woman', 'health')",1.043188678936465e-05
13,"('their', 'personal', 'experiences')",1.043188678936465e-05
14,"('have', 'access', 'abortions')",1.043188678936465e-05
15,"('share', 'their', 'personal')",1.043188678936465e-05
16,"('choice', 'when', 'comes')",1.043188678936465e-05
17,"('website', 'dedicated', 'rcrc')",1.043188678936465e-05
18,"('dedicated', 'rcrc', 'called')",1.043188678936465e-05
19,"('reproductive', 'choice', ""''"")",1.043188678936465e-05
20,"('naral', 'prochoice', 'foundation')",1.043188678936465e-05
21,"('states', 'abortion', 'rights')",1.043188678936465e-05
22,"('woman', 'health', 'hellerstedt')",1.043188678936465e-05
23,"('organizations', 'with', 'single')",1.043188678936465e-05
24,"('once', 'woman', 'enters')",1.043188678936465e-05
25,"('allowed', 'women', 'have')",1.043188678936465e-05
26,"('unless', 'mother', 'life')",1.043188678936465e-05
27,"('abortion', 'unless', 'mother')",1.043188678936465e-05
28,"('american', 'medical', 'association')",1.043188678936465e-05
29,"('abortion', 'rights', 'united')",1.043188678936465e-05
30,"('single', 'centralized', 'decisionmaking')",1.043188678936465e-05
31,"('with', 'single', 'centralized')",1.043188678936465e-05
32,"('united', 'states', 'abortion')",1.043188678936465e-05
33,"('variety', 'organizations', 'with')",1.043188678936465e-05
34,"('clinics', 'website', 'public')",4.3198188593703887e-07
35,"('website', 'public', 'regarding')",4.3198188593703887e-07
36,"('public', 'regarding', 'abortions')",4.3198188593703887e-07
37,"('regarding', 'abortions', 'they')",4.3198188593703887e-07
38,"('abortions', 'they', 'provide')",4.3198188593703887e-07
39,"('than', 'planned', 'parenthood')",4.3198188593703887e-07
40,"('provide', 'information', 'people')",4.3198188593703887e-07
41,"('information', 'people', 'considering')",4.3198188593703887e-07
42,"('their', 'clinics', 'website')",4.3198188593703887e-07
43,"('people', 'considering', 'abortions')",4.3198188593703887e-07
44,"('considering', 'abortions', 'information')",4.3198188593703887e-07
45,"('abortions', 'information', 'abortion')",4.3198188593703887e-07
46,"('they', 'provide', 'information')",4.3198188593703887e-07
47,"('information', 'their', 'clinics')",4.3198188593703887e-07
48,"('efforts', 'abortion', 'rights')",4.3198188593703887e-07
49,"('members', 'also', 'provide')",4.3198188593703887e-07
