,word,relevance_score
0,"('facts', 'about', 'youth')",1.1896368275274327
1,"('american', 'academy', 'pediatrics')",2.0386233931954497e-05
2,"('american', 'college', 'pediatricians')",1.038633006854962e-05
3,"('other', 'healthcare', 'professionals')",1.038633006854962e-05
4,"('director', 'national', 'institutes')",1.038633006854962e-05
5,"('their', 'work', 'advance')",1.038633006854962e-05
6,"('acpeds', 'letter', 'superintendents')",1.038633006854962e-05
7,"('group', ""''"", 'which')",1.038633006854962e-05
8,"('gorski', 'said', 'that')",1.038633006854962e-05
9,"('acpeds', '``', 'they')",3.8642620418152635e-07
10,"('``', 'they', 'they')",3.8642620418152635e-07
11,"('they', 'they', ""'re"")",3.8642620418152635e-07
12,"('they', ""'re"", 'impartial')",3.8642620418152635e-07
13,"(""'re"", 'impartial', 'motivated')",3.8642620418152635e-07
14,"('impartial', 'motivated', 'political')",3.8642620418152635e-07
15,"('concerns', 'look', 'they')",3.8642620418152635e-07
16,"('political', 'religious', 'concerns')",3.8642620418152635e-07
17,"('religious', 'concerns', 'look')",3.8642620418152635e-07
18,"('saying', 'acpeds', '``')",3.8642620418152635e-07
19,"('look', 'they', ""'re"")",3.8642620418152635e-07
20,"('they', ""'re"", 'affiliated')",3.8642620418152635e-07
21,"('motivated', 'political', 'religious')",3.8642620418152635e-07
22,"('misused', 'saying', 'acpeds')",3.8642620418152635e-07
23,"('stated', 'that', 'research')",3.8642620418152635e-07
24,"('research', 'been', 'misused')",3.8642620418152635e-07
25,"('that', 'research', 'been')",3.8642620418152635e-07
26,"(""'re"", 'affiliated', 'with')",3.8642620418152635e-07
27,"('similarly', 'stated', 'that')",3.8642620418152635e-07
28,"('issues', 'similarly', 'stated')",3.8642620418152635e-07
29,"('orientation', 'issues', 'similarly')",3.8642620418152635e-07
30,"('sexual', 'orientation', 'issues')",3.8642620418152635e-07
31,"('specializes', 'sexual', 'orientation')",3.8642620418152635e-07
32,"('therapist', 'specializes', 'sexual')",3.8642620418152635e-07
33,"('throckmorton', 'therapist', 'specializes')",3.8642620418152635e-07
34,"('warren', 'throckmorton', 'therapist')",3.8642620418152635e-07
35,"('website', 'warren', 'throckmorton')",3.8642620418152635e-07
36,"('youth', 'website', 'warren')",3.8642620418152635e-07
37,"('been', 'misused', 'saying')",3.8642620418152635e-07
38,"('affiliated', 'with', 'they')",3.8642620418152635e-07
39,"('research', 'that', 'just')",3.8642620418152635e-07
40,"('they', ""'re"", 'using')",3.8642620418152635e-07
41,"('described', 'acpeds', '``')",3.8642620418152635e-07
42,"('nasw', 'described', 'acpeds')",3.8642620418152635e-07
43,"('workers', 'nasw', 'described')",3.8642620418152635e-07
44,"('social', 'workers', 'nasw')",3.8642620418152635e-07
45,"('association', 'social', 'workers')",3.8642620418152635e-07
46,"('national', 'association', 'social')",3.8642620418152635e-07
47,"('virginia', 'national', 'association')",3.8642620418152635e-07
48,"('west', 'virginia', 'national')",3.8642620418152635e-07
49,"('hess', 'west', 'virginia')",3.8642620418152635e-07
