,word,relevance_score
0,"('american', 'life', 'league')",1.5223681928088668
1,"('court', 'refused', 'hear')",5.284678525488064e-07
2,"('appeals', 'united', 'states')",5.284678525488064e-07
3,"('court', 'appeals', 'united')",5.284678525488064e-07
4,"('lost', 'circuit', 'court')",5.284678525488064e-07
5,"('reno', 'lost', 'circuit')",5.284678525488064e-07
6,"('league', 'reno', 'lost')",5.284678525488064e-07
7,"('life', 'league', 'reno')",5.284678525488064e-07
8,"('entrances', 'american', 'life')",5.284678525488064e-07
9,"('clinic', 'entrances', 'american')",5.284678525488064e-07
10,"('access', 'clinic', 'entrances')",5.284678525488064e-07
11,"('freedom', 'access', 'clinic')",5.284678525488064e-07
12,"('challenge', 'freedom', 'access')",5.284678525488064e-07
13,"('suit', 'challenge', 'freedom')",5.284678525488064e-07
14,"('filed', 'suit', 'challenge')",5.284678525488064e-07
15,"('specialist', 'richard', 'viguerie')",5.284678525488064e-07
16,"('refused', 'hear', 'case')",5.284678525488064e-07
17,"('mail', 'specialist', 'richard')",5.284678525488064e-07
18,"('march', 'american', 'life')",5.284678525488064e-07
19,"('league', 'boycotted', 'thenowners')",5.284678525488064e-07
20,"('with', 'variety', 'issues')",5.284678525488064e-07
21,"('deals', 'with', 'variety')",5.284678525488064e-07
22,"('priest', 'deals', 'with')",5.284678525488064e-07
23,"('catholic', 'priest', 'deals')",5.284678525488064e-07
24,"('roman', 'catholic', 'priest')",5.284678525488064e-07
25,"('which', 'roman', 'catholic')",5.284678525488064e-07
26,"('priest', 'which', 'roman')",5.284678525488064e-07
27,"('film', 'priest', 'which')",5.284678525488064e-07
28,"('over', 'film', 'priest')",5.284678525488064e-07
29,"('company', 'over', 'film')",5.284678525488064e-07
30,"('disney', 'company', 'over')",5.284678525488064e-07
31,"('walt', 'disney', 'company')",5.284678525488064e-07
32,"('miramax', 'walt', 'disney')",5.284678525488064e-07
33,"('thenowners', 'miramax', 'walt')",5.284678525488064e-07
34,"('boycotted', 'thenowners', 'miramax')",5.284678525488064e-07
35,"('life', 'league', 'boycotted')",5.284678525488064e-07
36,"('direct', 'mail', 'specialist')",5.284678525488064e-07
37,"('rightwing', 'direct', 'mail')",5.284678525488064e-07
38,"('provided', 'rightwing', 'direct')",5.284678525488064e-07
39,"('life', 'committee', 'within')",5.284678525488064e-07
40,"('with', 'national', 'right')",5.284678525488064e-07
41,"('schism', 'with', 'national')",5.284678525488064e-07
42,"('after', 'schism', 'with')",5.284678525488064e-07
43,"('americans', 'after', 'schism')",5.284678525488064e-07
44,"('antiabortion', 'americans', 'after')",5.284678525488064e-07
45,"('other', 'antiabortion', 'americans')",5.284678525488064e-07
46,"('dobson', 'other', 'antiabortion')",5.284678525488064e-07
47,"('james', 'dobson', 'other')",5.284678525488064e-07
48,"('s', 'james', 'dobson')",5.284678525488064e-07
49,"('’', 's', 'james')",5.284678525488064e-07
