,word,relevance_score
0,"('antiabortion', 'feminist', 'organizations')",1.1553113939577684
1,"('``', 'prowoman', ""''"")",1.1553113939577684
2,"('antiabortion', 'feminists', 'believe')",2.013649836645722e-05
3,"('naranjohuebl', 'macnair', 'isbn')",1.013659637369332e-05
4,"('derr', 'naranjohuebl', 'macnair')",1.013659637369332e-05
5,"('feminism', 'yesterday', 'today')",1.013659637369332e-05
6,"('prolife', 'feminism', 'yesterday')",1.013659637369332e-05
7,"('edited', 'derr', 'naranjohuebl')",1.013659637369332e-05
8,"('from', 'other', 'antiabortion')",1.013659637369332e-05
9,"('feminist', 'organizations', 'seek')",1.013659637369332e-05
10,"('feminists', 'believe', 'that')",1.013659637369332e-05
11,"('prowoman', ""''"", 'argument')",1.013659637369332e-05
12,"('that', 'women', 'have')",2.7338761971985427e-07
13,"('used', 'sway', 'women')",1.366950062534384e-07
14,"('protecting', 'women', 'public')",1.366950062534384e-07
15,"('women', 'public', 'health')",1.366950062534384e-07
16,"('public', 'health', '``')",1.366950062534384e-07
17,"('health', '``', 'prowoman')",1.366950062534384e-07
18,"(""''"", 'argument', 'been')",1.366950062534384e-07
19,"('argument', 'been', 'used')",1.366950062534384e-07
20,"('been', 'used', 'sway')",1.366950062534384e-07
21,"('sway', 'women', 'againstabortion')",1.366950062534384e-07
22,"('thcentury', 'women', 'rights')",1.366950062534384e-07
23,"('antiabortion', 'groups', 'they')",1.366950062534384e-07
24,"('groups', 'they', 'continuing')",1.366950062534384e-07
25,"('they', 'continuing', 'tradition')",1.366950062534384e-07
26,"('continuing', 'tradition', 'thcentury')",1.366950062534384e-07
27,"('tradition', 'thcentury', 'women')",1.366950062534384e-07
28,"('terms', 'protecting', 'women')",1.366950062534384e-07
29,"('women', 'rights', 'activists')",1.366950062534384e-07
30,"('rights', 'activists', 'such')",1.366950062534384e-07
31,"('activists', 'such', 'elizabeth')",1.366950062534384e-07
32,"('feminist', 'antiabortion', 'groups')",1.366950062534384e-07
33,"('abortion', 'terms', 'protecting')",1.366950062534384e-07
34,"('which', 'medically', 'recognized')",1.366950062534384e-07
35,"('reframe', 'opposition', 'abortion')",1.366950062534384e-07
36,"('purposes', 'rather', 'than')",1.366950062534384e-07
37,"('rather', 'than', 'under')",1.366950062534384e-07
38,"('than', 'under', 'coercion')",1.366950062534384e-07
39,"('under', 'coercion', 'from')",1.366950062534384e-07
40,"('coercion', 'from', 'thirdpartiesby')",1.366950062534384e-07
41,"('from', 'thirdpartiesby', 'positing')",1.366950062534384e-07
42,"('thirdpartiesby', 'positing', 'existence')",1.366950062534384e-07
43,"('positing', 'existence', '``')",1.366950062534384e-07
44,"('existence', '``', 'postabortion')",1.366950062534384e-07
45,"('opposition', 'abortion', 'terms')",1.366950062534384e-07
46,"('``', 'postabortion', 'syndrome')",1.366950062534384e-07
47,"('syndrome', ""''"", 'mental')",1.366950062534384e-07
48,"(""''"", 'mental', 'condition')",1.366950062534384e-07
49,"('mental', 'condition', 'which')",1.366950062534384e-07
