,word,relevance_score
0,"('``', 'prochoice', ""''"")",2.063939256181245
1,"('americans', 'united', 'life')",1.199475413907332
2,"('``', 'prolife', ""''"")",0.6429479862072914
3,"('national', 'right', 'life')",3.091773481648816e-05
4,"('right', 'life', 'committee')",3.091773481648816e-05
5,"('themselves', '``', 'prochoice')",2.045893087526038e-05
6,"('consistent', 'life', 'ethic')",2.045893087526038e-05
7,"('susan', 'anthony', 'list')",2.045893087526038e-05
8,"('themselves', '``', 'prolife')",2.045893087526038e-05
9,"('abortion', 'united', 'states')",2.045893087526038e-05
10,"('that', 'human', 'life')",2.045893087526038e-05
11,"('antiabortion', 'movement', 'united')",1.0918079593410221e-05
12,"('rasmussen', 'reports', 'poll')",1.0918079593410221e-05
13,"(""''"", '``', 'prochoice')",1.0459080547186902e-05
14,"('prolife', ""''"", '``')",1.0459080547186902e-05
15,"('asked', 'about', 'legality')",1.0459080547186902e-05
16,"('under', 'only', 'circumstances')",1.0459080547186902e-05
17,"('should', 'legal', 'under')",1.0459080547186902e-05
18,"('americans', 'believe', 'abortion')",1.0459080547186902e-05
19,"('catholic', 'college', 'degree')",1.0459080547186902e-05
20,"('considered', 'themselves', 'antiabortion')",1.0459080547186902e-05
21,"('within', 'antiabortion', 'movement')",1.0459080547186902e-05
22,"('supreme', 'court', 'overturn')",1.0459080547186902e-05
23,"('degree', 'were', 'catholic')",1.0459080547186902e-05
24,"('list', 'supports', 'prochoice')",1.0459080547186902e-05
25,"('have', 'highest', 'majorities')",1.0459080547186902e-05
26,"('college', 'degree', 'were')",1.0459080547186902e-05
27,"('female', 'college', 'degree')",1.0459080547186902e-05
28,"('white', 'were', 'female')",1.0459080547186902e-05
29,"('nonactivists', 'considered', 'themselves')",1.0459080547186902e-05
30,"('alternative', 'viewpoint', '``')",1.0459080547186902e-05
31,"('``', 'say', 'they')",1.0459080547186902e-05
32,"('poll', '``', 'likely')",1.0459080547186902e-05
33,"('flowers', 'prudence', '``')",1.0459080547186902e-05
34,"('against', 'abortion', 'providers')",1.0459080547186902e-05
35,"('link', 'between', 'abortion')",1.0459080547186902e-05
36,"('specialty', 'license', 'plates')",1.0459080547186902e-05
37,"('health', 'risks', 'abortion')",1.0459080547186902e-05
38,"('mental', 'health', 'risks')",1.0459080547186902e-05
39,"('false', 'medical', 'information')",1.0459080547186902e-05
40,"('disseminate', 'false', 'medical')",1.0459080547186902e-05
41,"('crisis', 'pregnancy', 'centers')",1.0459080547186902e-05
42,"('prolife', 'action', 'league')",1.0459080547186902e-05
43,"(""''"", '``', 'abortion')",1.0459080547186902e-05
44,"('say', 'they', 'prolife')",1.0459080547186902e-05
45,"('movement', 'before', 'wade')",1.0459080547186902e-05
46,"('percent', '``', 'say')",1.0459080547186902e-05
47,"('percent', 'view', 'themselves')",1.0459080547186902e-05
48,"('likely', 'voters', ""''"")",1.0459080547186902e-05
49,"('``', 'likely', 'voters')",1.0459080547186902e-05
