,word,relevance_score
0,"('through', 'processes', 'known')",3.272090563455555e-07
1,"('advances', 'medical', 'knowledge')",3.272090563455555e-07
2,"('medical', 'knowledge', 'played')",3.272090563455555e-07
3,"('knowledge', 'played', 'significant')",3.272090563455555e-07
4,"('significant', 'role', 'influencing')",3.272090563455555e-07
5,"('role', 'influencing', 'antiabortion')",3.272090563455555e-07
6,"('influencing', 'antiabortion', 'opinion')",3.272090563455555e-07
7,"('antiabortion', 'opinion', 'quickening')",3.272090563455555e-07
8,"('opinion', 'quickening', 'which')",3.272090563455555e-07
9,"('quickening', 'which', 'previously')",3.272090563455555e-07
10,"('previously', 'been', 'thought')",3.272090563455555e-07
11,"('been', 'thought', 'point')",3.272090563455555e-07
12,"('physicians', 'advances', 'medical')",3.272090563455555e-07
13,"('thought', 'point', 'which')",3.272090563455555e-07
14,"('which', 'soul', 'entered')",3.272090563455555e-07
15,"('soul', 'entered', 'human')",3.272090563455555e-07
16,"('entered', 'human', 'discovered')",3.272090563455555e-07
17,"('human', 'discovered', 'relatively')",3.272090563455555e-07
18,"('discovered', 'relatively', 'unimportant')",3.272090563455555e-07
19,"('relatively', 'unimportant', 'step')",3.272090563455555e-07
20,"('unimportant', 'step', 'fetal')",3.272090563455555e-07
21,"('step', 'fetal', 'development')",3.272090563455555e-07
22,"('fetal', 'development', 'caused')",3.272090563455555e-07
23,"('development', 'caused', 'many')",3.272090563455555e-07
24,"('caused', 'many', 'medical')",3.272090563455555e-07
25,"('point', 'which', 'soul')",3.272090563455555e-07
26,"('among', 'physicians', 'advances')",3.272090563455555e-07
27,"('feminists', 'among', 'physicians')",3.272090563455555e-07
28,"('politicians', 'feminists', 'among')",3.272090563455555e-07
29,"('opposes', 'forms', 'killing')",3.272090563455555e-07
30,"('forms', 'killing', 'including')",3.272090563455555e-07
31,"('killing', 'including', 'abortion')",3.272090563455555e-07
32,"('including', 'abortion', 'euthanasia')",3.272090563455555e-07
33,"('abortion', 'euthanasia', 'capital')",3.272090563455555e-07
34,"('euthanasia', 'capital', 'punishment')",3.272090563455555e-07
35,"('current', 'movement', 'part')",3.272090563455555e-07
36,"('movement', 'part', 'continuation')",3.272090563455555e-07
37,"('part', 'continuation', 'previous')",3.272090563455555e-07
38,"('continuation', 'previous', 'debates')",3.272090563455555e-07
39,"('previous', 'debates', 'abortion')",3.272090563455555e-07
40,"('debates', 'abortion', 'that')",3.272090563455555e-07
41,"('abortion', 'that', 'practice')",3.272090563455555e-07
42,"('that', 'practice', 'being')",3.272090563455555e-07
43,"('practice', 'being', 'banned')",3.272090563455555e-07
44,"('being', 'banned', 'states')",3.272090563455555e-07
45,"('banned', 'states', 'late')",3.272090563455555e-07
46,"('states', 'late', 'century')",3.272090563455555e-07
47,"('late', 'century', 'initial')",3.272090563455555e-07
48,"('century', 'initial', 'movement')",3.272090563455555e-07
49,"('initial', 'movement', 'physicians')",3.272090563455555e-07
