,word,relevance_score
0,"('planned', 'parenthood', 'clinic')",2.6235141420687076
1,"('against', 'abortion', 'providers')",1.4750679367500492
2,"('paul', 'jennings', 'hill')",2.007716963934737e-05
3,"('national', 'abortion', 'federation')",2.007716963934737e-05
4,"('freedom', 'access', 'clinic')",2.007716963934737e-05
5,"('access', 'clinic', 'entrances')",2.007716963934737e-05
6,"('baby', 'killers', ""''"")",2.007716963934737e-05
7,"('fire', 'planned', 'parenthood')",2.007716963934737e-05
8,"('threw', 'molotov', 'cocktail')",2.007716963934737e-05
9,"('john', 'britton', 'james')",1.0076894830952667e-05
10,"('murder', 'john', 'britton')",1.0076894830952667e-05
11,"('site', 'murder', 'john')",1.0076894830952667e-05
12,"('clinic', 'columbus', 'ohio')",1.0076894830952667e-05
13,"('clinic', 'saint', 'paul')",1.0076894830952667e-05
14,"('firstdegree', 'criminal', 'mischief')",1.0076894830952667e-05
15,"('prolife', 'activities', ""''"")",1.0076894830952667e-05
16,"('markley', 'convicted', 'firstdegree')",1.0076894830952667e-05
17,"('center', 'huntsville', 'alabama')",1.0076894830952667e-05
18,"('health', 'center', 'huntsville')",1.0076894830952667e-05
19,"('britton', 'james', 'barrett')",1.0076894830952667e-05
20,"('coordinator', 'prolife', 'activities')",1.0076894830952667e-05
21,"('``', 'coordinator', 'prolife')",1.0076894830952667e-05
22,"('convicted', 'firstdegree', 'criminal')",1.0076894830952667e-05
23,"('clinic', 'pensacola', 'florida')",1.0076894830952667e-05
24,"('clinic', 'concord', 'hampshire')",1.0076894830952667e-05
25,"('arrest', 'without', 'violence')",1.0076894830952667e-05
26,"('against', 'humanity', ""''"")",1.0076894830952667e-05
27,"('legitimate', 'defend', 'life')",1.0076894830952667e-05
28,"('john', 'britton', 'clinic')",1.0076894830952667e-05
29,"('violating', 'freedom', 'access')",1.0076894830952667e-05
30,"('count', 'violating', 'freedom')",1.0076894830952667e-05
31,"('court', 'count', 'violating')",1.0076894830952667e-05
32,"('resisting', 'arrest', 'without')",1.0076894830952667e-05
33,"('federal', 'court', 'count')",1.0076894830952667e-05
34,"('clinic', 'previously', 'been')",1.0076894830952667e-05
35,"('cocktail', 'planned', 'parenthood')",1.0076894830952667e-05
36,"('molotov', 'cocktail', 'planned')",1.0076894830952667e-05
37,"('diocesan', '``', 'coordinator')",1.0076894830952667e-05
38,"('days', 'already', 'served')",1.0076894830952667e-05
39,"('without', 'violence', 'sentenced')",1.0076894830952667e-05
40,"('guilty', 'federal', 'court')",1.0076894830952667e-05
41,"('birmingham', 'diocesan', '``')",1.0076894830952667e-05
42,"('bomb', 'abortion', 'clinic')",1.0076894830952667e-05
43,"('benedictine', 'priest', 'birmingham')",1.0076894830952667e-05
44,"('priest', 'birmingham', 'diocesan')",1.0076894830952667e-05
45,"('attempted', 'murder', 'murder')",1.0076894830952667e-05
46,"('committed', 'james', 'kopp')",1.0076894830952667e-05
47,"('peter', 'james', 'knight')",1.0076894830952667e-05
48,"('sentenced', 'life', 'prison')",1.0076894830952667e-05
49,"('shooting', 'barnett', 'slepian')",1.0076894830952667e-05
