,word,relevance_score
0,"('crisis', 'pregnancy', 'centers')",2.0287544551852896
1,"('pregnancy', 'resource', 'centers')",1.7012422235647089
2,"('care', 'heartbeat', 'international')",1.4764663041040331
3,"('false', 'medical', 'information')",1.1549266419146507
4,"('that', 'they', 'offer')",1.1549266419146507
5,"('national', 'institute', 'family')",1.1549266419146507
6,"('institute', 'family', 'life')",1.1549266419146507
7,"('family', 'life', 'advocates')",1.1549266419146507
8,"('that', 'they', 'provide')",2.0105765011846543e-05
9,"('pregnancy', 'support', 'services')",2.0105765011846543e-05
10,"('association', 'pregnancy', 'support')",2.0105765011846543e-05
11,"('resource', 'centers', ""''"")",2.0105765011846543e-05
12,"('link', 'between', 'abortion')",2.0105765011846543e-05
13,"('canadian', 'association', 'pregnancy')",2.0105765011846543e-05
14,"('they', 'offer', 'abortion')",2.0105765011846543e-05
15,"('cpcs', 'united', 'states')",2.0105765011846543e-05
16,"('been', 'found', 'disseminate')",2.0105765011846543e-05
17,"('crisis', 'pregnancy', 'center')",2.0105765011846543e-05
18,"('life', 'advocates', 'nifla')",2.0105765011846543e-05
19,"('part', 'counseling', 'women')",1.0105863681695456e-05
20,"('essential', 'part', 'counseling')",1.0105863681695456e-05
21,"('gospel', 'essential', 'part')",1.0105863681695456e-05
22,"('sharing', 'gospel', 'essential')",1.0105863681695456e-05
23,"('that', 'sharing', 'gospel')",1.0105863681695456e-05
24,"('strongly', 'believes', 'that')",1.0105863681695456e-05
25,"('``', 'strongly', 'believes')",1.0105863681695456e-05
26,"('itself', '``', 'christian')",1.0105863681695456e-05
27,"('describes', 'itself', '``')",1.0105863681695456e-05
28,"('counseling', 'women', 'pregnancy')",1.0105863681695456e-05
29,"('believes', 'that', 'sharing')",1.0105863681695456e-05
30,"('women', 'pregnancy', 'help')",1.0105863681695456e-05
31,"('they', 'provide', 'abortions')",1.0105863681695456e-05
32,"('help', 'medical', 'clinics')",1.0105863681695456e-05
33,"('medical', 'clinics', ""''"")",1.0105863681695456e-05
34,"('clinics', ""''"", 'some')",1.0105863681695456e-05
35,"('care', 'canadian', 'association')",1.0105863681695456e-05
36,"('human', 'life', 'international')",1.0105863681695456e-05
37,"('abortion', 'services', ""''"")",1.0105863681695456e-05
38,"('services', ""''"", '``')",1.0105863681695456e-05
39,"('heartbeat', 'international', 'largest')",1.0105863681695456e-05
40,"('disclose', 'whether', 'they')",1.0105863681695456e-05
41,"('over', 'million', 'federal')",1.0105863681695456e-05
42,"('compassion', 'capital', 'fund')",1.0105863681695456e-05
43,"('pregnancy', 'help', 'medical')",1.0105863681695456e-05
44,"('risk', 'perforation', 'infection')",1.0105863681695456e-05
45,"('abortion', 'birth', 'control')",1.0105863681695456e-05
46,"('``', 'postabortion', 'syndrome')",1.0105863681695456e-05
47,"('postabortion', 'syndrome', ""''"")",1.0105863681695456e-05
48,"('cpcs', 'have', 'frequently')",1.0105863681695456e-05
49,"('have', 'frequently', 'been')",1.0105863681695456e-05
