,word,relevance_score
0,"('``', 'deeply', 'rooted')",1.51764564132727
1,"('that', 'court', 'should')",1.51764564132727
2,"('called', 'decision', '``')",1.2026962653041142
3,"('jackson', 'women', 'health')",0.6828870011577044
4,"('women', 'health', 'organization')",0.6828870011577044
5,"('dobbs', 'jackson', 'women')",2.2207992213576738e-05
6,"('support', 'legal', 'abortion')",2.0836376026129225e-05
7,"(""''"", 'in', 'part')",2.0513325642313487e-05
8,"('must', '``', 'deeply')",2.0513325642313487e-05
9,"('right', 'must', '``')",2.0513325642313487e-05
10,"('undue', 'burden', 'standard')",2.0513325642313487e-05
11,"('argued', 'that', 'mississippi')",2.0513325642313487e-05
12,"('only', 'abortion', 'clinic')",2.0513325642313487e-05
13,"('deeply', 'rooted', ""''"")",2.0513325642313487e-05
14,"('first', 'weeks', 'pregnancy')",2.0513325642313487e-05
15,"('mississippi', 'only', 'abortion')",2.0513325642313487e-05
16,"('woman', 'right', 'choose')",1.083656696764593e-05
17,"('prevent', 'states', 'from')",1.083656696764593e-05
18,"('president', 'biden', 'said')",1.0509874263083598e-05
19,"('women', 'health', 'protection')",1.0509874263083598e-05
20,"('have', 'pledged', 'enforce')",1.0509874263083598e-05
21,"('gallup', 'poll', 'showed')",1.0509874263083598e-05
22,"('politicians', 'media', 'sources')",1.0509874263083598e-05
23,"('would', 'prevent', 'states')",1.0509874263083598e-05
24,"('states', 'from', 'blocking')",1.0509874263083598e-05
25,"('house', 'republicans', 'have')",1.0509874263083598e-05
26,"('glucksberg', 'that', 'right')",1.0509874263083598e-05
27,"('that', 'right', 'must')",1.0509874263083598e-05
28,"('``', 'abortion', 'could')",1.0509874263083598e-05
29,"('wrong', 'from', 'start')",1.0509874263083598e-05
30,"('reproductive', 'healthcare', 'services')",1.0509874263083598e-05
31,"('protect', 'abortion', 'rights')",1.0509874263083598e-05
32,"('said', 'that', 'court')",1.0509874263083598e-05
33,"('executive', 'order', 'protecting')",1.0509874263083598e-05
34,"('abortion', 'could', ""n't"")",1.0509874263083598e-05
35,"('general', 'argued', 'that')",1.0509874263083598e-05
36,"('solicitor', 'general', 'argued')",1.0509874263083598e-05
37,"('oral', 'argument', 'dobbs')",1.0509874263083598e-05
38,"('amici', 'curiae', 'briefs')",1.0509874263083598e-05
39,"('healthcare', 'services', ""''"")",1.0509874263083598e-05
40,"('services', ""''"", 'including')",1.0509874263083598e-05
41,"('supreme', 'court', 'abortion')",1.0509874263083598e-05
42,"('legitimate', 'state', 'interest')",1.0509874263083598e-05
43,"('egregiously', 'wrong', 'from')",1.0509874263083598e-05
44,"('could', ""n't"", 'constitutionally')",1.0509874263083598e-05
45,"('right', 'entirely', 'unknown')",1.0509874263083598e-05
46,"('constitutionally', 'protected', 'until')",1.0509874263083598e-05
47,"('in', 'part', 'alito')",1.0509874263083598e-05
48,"('constitutional', 'right', 'abortion')",1.0509874263083598e-05
49,"('three', 'wrote', '``')",1.0509874263083598e-05
