,word,relevance_score
0,"('fetal', 'right', 'life')",1.7202992895906781
1,"('fetus', 'right', 'life')",2.030241479523029e-05
2,"('right', 'life', 'from')",2.030241479523029e-05
3,"('fetus', 'inheritance', 'rights')",2.030241479523029e-05
4,"('born', 'alive', 'rule')",1.0298425263334093e-05
5,"('under', 'born', 'alive')",1.0298425263334093e-05
6,"('inheritance', 'rights', 'under')",1.0298425263334093e-05
7,"('royal', 'children', 'right')",1.0298425263334093e-05
8,"('unborn', 'royal', 'children')",1.0298425263334093e-05
9,"('grants', 'unborn', 'royal')",1.0298425263334093e-05
10,"('rights', 'pregnant', 'girl')",1.0298425263334093e-05
11,"('right', 'life', 'does')",1.0298425263334093e-05
12,"('eighth', 'amendment', 'constitution')",1.0298425263334093e-05
13,"('under', 'basic', 'germany')",1.0298425263334093e-05
14,"('life', 'under', 'basic')",1.0298425263334093e-05
15,"('children', 'right', 'succession')",1.0298425263334093e-05
16,"('fetal', 'alcohol', 'syndrome')",1.0298425263334093e-05
17,"('right', 'life', 'under')",1.0298425263334093e-05
18,"('codes', 'several', 'countries')",1.0298425263334093e-05
19,"('human', 'life', 'from')",1.0298425263334093e-05
20,"('life', 'from', 'moment')",1.0298425263334093e-05
21,"('civil', 'codes', 'several')",1.0298425263334093e-05
22,"('pregnant', 'women', 'until')",1.0298425263334093e-05
23,"('life', 'from', 'conception')",1.0298425263334093e-05
24,"('before', 'testator', 'death')",1.0298425263334093e-05
25,"('from', 'moment', 'conception')",1.0298425263334093e-05
26,"('international', 'human', 'rights')",5.718502348484784e-07
27,"('fetal', 'heart', 'monitors')",2.9852248563981366e-07
28,"('ultrasound', 'fetal', 'heart')",2.9852248563981366e-07
29,"('family', 'services', 'judges')",2.9852248563981366e-07
30,"('realtime', 'ultrasound', 'fetal')",2.9852248563981366e-07
31,"('like', 'realtime', 'ultrasound')",2.9852248563981366e-07
32,"('technologies', 'like', 'realtime')",2.9852248563981366e-07
33,"('``', 'technologies', 'like')",2.9852248563981366e-07
34,"('that', '``', 'technologies')",2.9852248563981366e-07
35,"('judges', 'argued', 'that')",2.9852248563981366e-07
36,"('services', 'judges', 'argued')",2.9852248563981366e-07
37,"('child', 'family', 'services')",2.9852248563981366e-07
38,"('fetus', 'patient', 'independent')",2.9852248563981366e-07
39,"('mother', 'winnipeg', 'child')",2.9852248563981366e-07
40,"('independent', 'mother', 'winnipeg')",2.9852248563981366e-07
41,"('patient', 'independent', 'mother')",2.9852248563981366e-07
42,"('regard', 'fetus', 'patient')",2.9852248563981366e-07
43,"('possible', 'regard', 'fetus')",2.9852248563981366e-07
44,"('made', 'possible', 'regard')",2.9852248563981366e-07
45,"('technology', 'made', 'possible')",2.9852248563981366e-07
46,"('stated', 'that', 'technology')",2.9852248563981366e-07
47,"('heart', 'monitors', 'foetoscopy')",2.9852248563981366e-07
48,"('that', 'technology', 'made')",2.9852248563981366e-07
49,"('winnipeg', 'child', 'family')",2.9852248563981366e-07
