,word,relevance_score
0,"('fetal', 'heartbeat', 'bill')",2.679976099199502
1,"('fetal', 'heartbeat', 'bills')",2.355648575480926
2,"('heartbeat', 'bills', 'were')",1.8632393326145036
3,"('heartbeat', 'bill', ""''"")",1.6846819098712846
4,"('``', 'fetal', 'heartbeat')",1.6846819098712846
5,"('fetal', 'heartbeat', 'detected')",1.6846819098712846
6,"('bills', 'were', 'filed')",1.6846819098712846
7,"('``', 'heartbeat', 'bill')",1.459103224561775
8,"('after', 'fetal', 'heartbeat')",1.459103224561775
9,"('sixweek', 'abortion', 'bans')",1.1343850810912341
10,"('abortions', 'after', 'weeks')",1.1343850810912341
11,"('fetal', 'heartbeat', ""''"")",1.1343850810912341
12,"('weeks', 'into', 'pregnancy')",1.1343850810912341
13,"('passed', 'ohio', 'house')",1.9971629384115923e-05
14,"('bill', 'passed', 'ohio')",1.9971629384115923e-05
15,"('were', 'filed', 'mississippi')",1.9971629384115923e-05
16,"('bills', 'have', 'been')",1.9971629384115923e-05
17,"('heartbeat', 'bills', 'have')",1.9971629384115923e-05
18,"('health', 'welfare', 'committee')",1.9971629384115923e-05
19,"('heartbeat', 'bill', 'introduced')",1.9971629384115923e-05
20,"('house', 'representatives', 'bill')",1.9971629384115923e-05
21,"('cases', 'rape', 'incest')",1.9971629384115923e-05
22,"('signed', 'into', 'governor')",1.9971629384115923e-05
23,"('will', 'become', 'heart')",1.9971629384115923e-05
24,"('after', 'weeks', 'pregnancy')",1.9971629384115923e-05
25,"('abortions', 'after', 'fetal')",1.9971629384115923e-05
26,"('ohio', 'house', 'representatives')",1.994004891898055e-05
27,"('requiring', 'women', 'seeking')",9.971729676287725e-06
28,"('conceptus', ""'"", 'heartbeat')",9.971729676287725e-06
29,"('consent', ""''"", 'laws')",9.971729676287725e-06
30,"('informed', 'consent', ""''"")",9.971729676287725e-06
31,"('court', 'appeals', 'affirmed')",9.971729676287725e-06
32,"('district', 'court', 'ruled')",9.971729676287725e-06
33,"('governor', 'mike', 'dewine')",9.971729676287725e-06
34,"('eighth', 'circuit', 'court')",9.971729676287725e-06
35,"('appeals', 'affirmed', 'lower')",9.971729676287725e-06
36,"('iowa', 'state', 'constitution')",9.971729676287725e-06
37,"('declined', 'review', 'case')",9.971729676287725e-06
38,"('governor', 'reynolds', 'signed')",9.971729676287725e-06
39,"('reynolds', 'signed', 'into')",9.971729676287725e-06
40,"('them', 'streets', ""''"")",9.971729676287725e-06
41,"('judge', 'michael', 'huppert')",9.971729676287725e-06
42,"('from', 'going', 'into')",9.971729676287725e-06
43,"('going', 'into', 'effect')",9.971729676287725e-06
44,"('january', 'county', 'district')",9.971729676287725e-06
45,"('affirmed', 'lower', 'court')",9.971729676287725e-06
46,"('getting', 'them', 'streets')",9.971729676287725e-06
47,"('tirelessly', 'make', 'sure')",9.971729676287725e-06
48,"('prosecuting', 'them', 'getting')",9.971729676287725e-06
49,"('pregnancy', 'term', 'because')",9.971729676287725e-06
