,word,relevance_score
0,"('dallas', 'county', 'district')",2.0260817106182703e-05
1,"('county', 'district', 'attorney')",1.0366200108841844e-05
2,"('criminal', 'abortion', 'statutes')",1.0261089927514476e-05
3,"('dallas', 'police', 'officer')",1.0261089927514476e-05
4,"('wood', 'dallas', 'police')",1.0261089927514476e-05
5,"('robert', 'wood', 'dallas')",1.0261089927514476e-05
6,"('abortion', 'statutes', 'were')",1.0261089927514476e-05
7,"('thin', 'blue', 'line')",1.0261089927514476e-05
8,"('film', 'thin', 'blue')",1.0261089927514476e-05
9,"('documentary', 'film', 'thin')",1.0261089927514476e-05
10,"('randall', 'dale', 'adams')",1.0261089927514476e-05
11,"('murder', 'robert', 'wood')",1.0261089927514476e-05
12,"('additional', 'years', 'remained')",2.6118846130380737e-07
13,"('members', 'dallas', 'called')",2.6118846130380737e-07
14,"('where', 'members', 'dallas')",2.6118846130380737e-07
15,"('building', 'where', 'members')",2.6118846130380737e-07
16,"('courts', 'building', 'where')",2.6118846130380737e-07
17,"('crowley', 'courts', 'building')",2.6118846130380737e-07
18,"('around', 'crowley', 'courts')",2.6118846130380737e-07
19,"('fixture', 'around', 'crowley')",2.6118846130380737e-07
20,"('remained', 'fixture', 'around')",2.6118846130380737e-07
21,"('years', 'remained', 'fixture')",2.6118846130380737e-07
22,"('office', 'additional', 'years')",2.6118846130380737e-07
23,"('blamed', 'political', 'career')",2.6118846130380737e-07
24,"('continued', 'serve', 'office')",2.6118846130380737e-07
25,"('suffer', 'continued', 'serve')",2.6118846130380737e-07
26,"('career', 'suffer', 'continued')",2.6118846130380737e-07
27,"('political', 'career', 'suffer')",2.6118846130380737e-07
28,"('dallas', 'called', '``')",2.6118846130380737e-07
29,"('himself', 'blamed', 'political')",2.6118846130380737e-07
30,"('wade', 'himself', 'blamed')",2.6118846130380737e-07
31,"('voters', 'wade', 'himself')",2.6118846130380737e-07
32,"('conservative', 'voters', 'wade')",2.6118846130380737e-07
33,"('with', 'conservative', 'voters')",2.6118846130380737e-07
34,"('unpopularity', 'with', 'conservative')",2.6118846130380737e-07
35,"('serve', 'office', 'additional')",2.6118846130380737e-07
36,"('``', 'the', 'chief')",2.6118846130380737e-07
37,"('juvenile', 'justice', 'center')",2.6118846130380737e-07
38,"('chief', ""''"", 'henry')",2.6118846130380737e-07
39,"('gained', 'national', 'attention')",2.6118846130380737e-07
40,"('again', 'gained', 'national')",2.6118846130380737e-07
41,"('once', 'again', 'gained')",2.6118846130380737e-07
42,"('wade', 'once', 'again')",2.6118846130380737e-07
43,"('influential', 'lawyers', 'century')",2.6118846130380737e-07
44,"('most', 'influential', 'lawyers')",2.6118846130380737e-07
45,"('named', 'most', 'influential')",2.6118846130380737e-07
46,"('magazine', 'named', 'most')",2.6118846130380737e-07
47,"('lawyer', 'magazine', 'named')",2.6118846130380737e-07
48,"('texas', 'lawyer', 'magazine')",2.6118846130380737e-07
49,"('disease', 'texas', 'lawyer')",2.6118846130380737e-07
