,word,relevance_score
0,"('abortion', 'infanticide', 'were')",1.0112317534768877e-05
1,"('which', 'dealt', 'with')",1.0112317534768877e-05
2,"('direct', 'mention', 'abortion')",1.0112317534768877e-05
3,"('rome', 'twelve', 'tables')",1.0112317534768877e-05
4,"('rational', 'soul', ""''"")",1.0112317534768877e-05
5,"('``', 'rational', 'soul')",1.0112317534768877e-05
6,"('soul', 'enters', 'body')",1.0112317534768877e-05
7,"('courts', 'which', 'dealt')",1.0112317534768877e-05
8,"('enters', 'physical', 'body')",1.0112317534768877e-05
9,"('that', 'enters', 'physical')",1.0112317534768877e-05
10,"('incorporeal', 'belief', 'that')",1.0112317534768877e-05
11,"('involved', 'considerations', 'nature')",1.0112317534768877e-05
12,"('with', 'welfare', 'state')",1.0112317534768877e-05
13,"('physical', 'body', 'conception')",1.0112317534768877e-05
14,"('laws', 'against', 'abortion')",2.2483059599768003e-07
15,"('sins', 'against', 'marriage')",1.1241640804001331e-07
16,"('against', 'marriage', 'this')",1.1241640804001331e-07
17,"('marriage', 'this', 'verdict')",1.1241640804001331e-07
18,"('this', 'verdict', 'relaxed')",1.1241640804001331e-07
19,"('verdict', 'relaxed', 'three')",1.1241640804001331e-07
20,"('years', 'later', 'pope')",1.1241640804001331e-07
21,"('three', 'years', 'later')",1.1241640804001331e-07
22,"('later', 'pope', 'gregory')",1.1241640804001331e-07
23,"('pope', 'gregory', 'pronounced')",1.1241640804001331e-07
24,"('nature', 'sins', 'against')",1.1241640804001331e-07
25,"('relaxed', 'three', 'years')",1.1241640804001331e-07
26,"('against', 'nature', 'sins')",1.1241640804001331e-07
27,"('thomas', 'aquinas', 'that')",1.1241640804001331e-07
28,"('were', 'crimes', 'against')",1.1241640804001331e-07
29,"('abortion', 'were', 'crimes')",1.1241640804001331e-07
30,"('contraception', 'abortion', 'were')",1.1241640804001331e-07
31,"('that', 'contraception', 'abortion')",1.1241640804001331e-07
32,"('aquinas', 'that', 'contraception')",1.1241640804001331e-07
33,"('gregory', 'pronounced', 'that')",1.1241640804001331e-07
34,"('position', 'thomas', 'aquinas')",1.1241640804001331e-07
35,"('adopting', 'position', 'thomas')",1.1241640804001331e-07
36,"('bull', 'adopting', 'position')",1.1241640804001331e-07
37,"('papal', 'bull', 'adopting')",1.1241640804001331e-07
38,"('adopted', 'papal', 'bull')",1.1241640804001331e-07
39,"('crimes', 'against', 'nature')",1.1241640804001331e-07
40,"('pronounced', 'that', 'abortion')",1.1241640804001331e-07
41,"('should', 'subject', 'ecclesiastical')",1.1241640804001331e-07
42,"('abortion', 'before', '``')",1.1241640804001331e-07
43,"('laws', 'relevance', 'abortion')",1.1241640804001331e-07
44,"('earliest', 'laws', 'relevance')",1.1241640804001331e-07
45,"('the', 'earliest', 'laws')",1.1241640804001331e-07
46,"('``', 'the', 'earliest')",1.1241640804001331e-07
47,"('reiman', 'writes', '``')",1.1241640804001331e-07
48,"('jeffrey', 'reiman', 'writes')",1.1241640804001331e-07
49,"('historian', 'jeffrey', 'reiman')",1.1241640804001331e-07
