,word,relevance_score
0,"('that', 'hyde', 'amendment')",1.2282566648635789
1,"('hyde', 'amendment', 'language')",2.0684699732518046e-05
2,"('adding', 'hyde', 'amendment')",1.0679051633450916e-05
3,"('speaker', 'paul', 'ryan')",1.0679051633450916e-05
4,"('held', 'that', 'states')",1.0679051633450916e-05
5,"('after', 'hyde', 'amendment')",1.0679051633450916e-05
6,"('cases', 'rape', 'incest')",1.0679051633450916e-05
7,"('repeal', 'hyde', 'amendment')",1.0679051633450916e-05
8,"('congressman', 'henry', 'hyde')",1.0679051633450916e-05
9,"('labor', 'health', 'human')",1.0679051633450916e-05
10,"('republican', 'congressman', 'henry')",1.0679051633450916e-05
11,"('hyde', 'amendment', 'passed')",1.0679051633450916e-05
12,"('original', 'hyde', 'amendment')",1.0679051633450916e-05
13,"('federal', 'funds', 'abortion')",1.0679051633450916e-05
14,"('have', 'been', 'place')",1.3496280101903848e-06
15,"('that', 'states', 'could')",1.3496280101903848e-06
16,"('these', 'provisions', 'remove')",6.791445564247414e-07
17,"('some', 'these', 'provisions')",6.791445564247414e-07
18,"('governments', 'some', 'these')",6.791445564247414e-07
19,"('hyde', 'amendment', 'into')",6.791445564247414e-07
20,"('been', 'place', 'some')",6.791445564247414e-07
21,"('provisions', 'remove', 'restrictions')",6.791445564247414e-07
22,"('stipulations', 'have', 'been')",6.791445564247414e-07
23,"('rulingsspecific', 'stipulations', 'have')",6.791445564247414e-07
24,"('judicial', 'rulingsspecific', 'stipulations')",6.791445564247414e-07
25,"('place', 'some', 'state')",6.791445564247414e-07
26,"('remove', 'restrictions', 'that')",6.791445564247414e-07
27,"('level', 'while', 'others')",6.791445564247414e-07
28,"('been', 'place', 'federal')",6.791445564247414e-07
29,"('place', 'federal', 'level')",6.791445564247414e-07
30,"('federal', 'level', 'while')",6.791445564247414e-07
31,"('while', 'others', 'used')",6.791445564247414e-07
32,"('others', 'used', 'further')",6.791445564247414e-07
33,"('consequent', 'judicial', 'rulingsspecific')",6.791445564247414e-07
34,"('used', 'further', 'extend')",6.791445564247414e-07
35,"('further', 'extend', 'reach')",6.791445564247414e-07
36,"('extend', 'reach', 'that')",6.791445564247414e-07
37,"('reach', 'that', 'hyde')",6.791445564247414e-07
38,"('restrictions', 'that', 'have')",6.791445564247414e-07
39,"('legislation', 'consequent', 'judicial')",6.791445564247414e-07
40,"('over', 'time', 'number')",6.791445564247414e-07
41,"('expanded', 'either', 'through')",6.791445564247414e-07
42,"('federal', 'requirementsconsequently', 'cutoff')",6.791445564247414e-07
43,"('requirementsconsequently', 'cutoff', 'federal')",6.791445564247414e-07
44,"('cutoff', 'federal', 'medicaid')",6.791445564247414e-07
45,"('federal', 'medicaid', 'funds')",6.791445564247414e-07
46,"('medicaid', 'funds', 'prompted')",6.791445564247414e-07
47,"('funds', 'prompted', 'some')",6.791445564247414e-07
48,"('prompted', 'some', 'states')",6.791445564247414e-07
49,"('some', 'states', 'provide')",6.791445564247414e-07
