,word,relevance_score
0,"('annual', 'march', 'life')",2.05729757857846e-05
1,"('before', 'march', 'life')",1.0573070060635679e-05
2,"('church', 'north', 'america')",1.0573070060635679e-05
3,"('anglican', 'church', 'north')",1.0573070060635679e-05
4,"('spoke', 'remotely', 'telephone')",1.0573070060635679e-05
5,"('following', 'storming', 'united')",1.0573070060635679e-05
6,"('before', 'after', 'march')",1.0573070060635679e-05
7,"('covid', 'pandemic', 'security')",1.0573070060635679e-05
8,"('using', 'this', 'technology')",5.73164322849535e-07
9,"('this', 'technology', 'march')",5.73164322849535e-07
10,"('technology', 'march', 'attended')",5.73164322849535e-07
11,"('rally', 'using', 'this')",5.73164322849535e-07
12,"('democratic', 'illinois', 'representative')",5.73164322849535e-07
13,"('address', 'rally', 'using')",5.73164322849535e-07
14,"('president', 'address', 'rally')",5.73164322849535e-07
15,"('first', 'president', 'address')",5.73164322849535e-07
16,"('march', 'attended', 'house')",5.73164322849535e-07
17,"('attended', 'house', 'speaker')",5.73164322849535e-07
18,"('house', 'speaker', 'paul')",5.73164322849535e-07
19,"('speaker', 'paul', 'ryan')",5.73164322849535e-07
20,"('paul', 'ryan', 'democratic')",5.73164322849535e-07
21,"('ryan', 'democratic', 'illinois')",5.73164322849535e-07
22,"('illinois', 'representative', 'lipinski')",5.73164322849535e-07
23,"('center', 'matt', 'birk')",5.73164322849535e-07
24,"('lipinski', 'former', 'center')",5.73164322849535e-07
25,"('former', 'center', 'matt')",5.73164322849535e-07
26,"('becoming', 'first', 'president')",5.73164322849535e-07
27,"('matt', 'birk', 'former')",5.73164322849535e-07
28,"('birk', 'former', 'quarterback')",5.73164322849535e-07
29,"('former', 'quarterback', 'tebow')",5.73164322849535e-07
30,"('quarterback', 'tebow', 'mother')",5.73164322849535e-07
31,"('trump', 'addressed', 'crowd')",5.73164322849535e-07
32,"('addressed', 'crowd', 'satellite')",5.73164322849535e-07
33,"('crowd', 'satellite', 'pence')",5.73164322849535e-07
34,"('satellite', 'pence', 'spoke')",5.73164322849535e-07
35,"('pence', 'spoke', 'event')",5.73164322849535e-07
36,"('spoke', 'event', 'person')",5.73164322849535e-07
37,"('event', 'person', 'president')",5.73164322849535e-07
38,"('representative', 'lipinski', 'former')",5.73164322849535e-07
39,"('garden', 'becoming', 'first')",5.73164322849535e-07
40,"('satellite', 'from', 'white')",5.73164322849535e-07
41,"('house', 'rose', 'garden')",5.73164322849535e-07
42,"('benjamin', 'watson', 'vice')",5.73164322849535e-07
43,"('watson', 'vice', 'president')",5.73164322849535e-07
44,"('president', 'pence', 'attended')",5.73164322849535e-07
45,"('pence', 'attended', 'spoke')",5.73164322849535e-07
46,"('attended', 'spoke', 'march')",5.73164322849535e-07
47,"('spoke', 'march', 'becoming')",5.73164322849535e-07
48,"('march', 'becoming', 'first')",5.73164322849535e-07
49,"('becoming', 'first', 'vice')",5.73164322849535e-07
