,word,relevance_score
0,"('paincapable', 'unborn', 'child')",1.50627811690966
1,"('unborn', 'child', 'protection')",1.50627811690966
2,"('abortion', 'after', 'weeks')",1.50627811690966
3,"('abortions', 'after', 'weeks')",1.1896919179359204
4,"('weeks', ""'"", 'gestation')",2.0420349869198318e-05
5,"('house', 'passed', 'bill')",2.0420349869198318e-05
6,"('first', 'weeks', 'pregnancy')",1.044083183513605e-05
7,"('without', 'restriction', 'first')",1.044083183513605e-05
8,"('banning', 'abortions', 'after')",1.044083183513605e-05
9,"('bill', 'congress', 'january')",1.044083183513605e-05
10,"('restriction', 'first', 'weeks')",1.044083183513605e-05
11,"('result', 'rape', 'incest')",1.044083183513605e-05
12,"('after', 'weeks', ""'"")",1.044083183513605e-05
13,"('reintroduced', 'bill', 'congress')",1.044083183513605e-05
14,"('asked', 'votes', 'choose')",4.4092742496668783e-07
15,"('thoughts', 'banning', 'abortions')",4.4092742496668783e-07
16,"('additional', 'poll', 'included')",4.4092742496668783e-07
17,"('poll', 'included', 'table')",4.4092742496668783e-07
18,"('included', 'table', 'above')",4.4092742496668783e-07
19,"('table', 'above', 'conducted')",4.4092742496668783e-07
20,"('conducted', 'washington', 'post')",4.4092742496668783e-07
21,"('washington', 'post', 'news')",4.4092742496668783e-07
22,"('post', 'news', 'july')",4.4092742496668783e-07
23,"('news', 'july', 'asked')",4.4092742496668783e-07
24,"('july', 'asked', 'votes')",4.4092742496668783e-07
25,"('their', 'thoughts', 'banning')",4.4092742496668783e-07
26,"('above', 'conducted', 'washington')",4.4092742496668783e-07
27,"('about', 'their', 'thoughts')",4.4092742496668783e-07
28,"('data', 'from', 'public')",4.4092742496668783e-07
29,"('asked', 'americans', 'about')",4.4092742496668783e-07
30,"('that', 'asked', 'americans')",4.4092742496668783e-07
31,"('polls', 'that', 'asked')",4.4092742496668783e-07
32,"('opinion', 'polls', 'that')",4.4092742496668783e-07
33,"('from', 'public', 'opinion')",4.4092742496668783e-07
34,"('votes', 'choose', 'between')",4.4092742496668783e-07
35,"('contains', 'data', 'from')",4.4092742496668783e-07
36,"('table', 'contains', 'data')",4.4092742496668783e-07
37,"('following', 'table', 'contains')",4.4092742496668783e-07
38,"('than', 'following', 'table')",4.4092742496668783e-07
39,"('numbers', 'than', 'following')",4.4092742496668783e-07
40,"('higher', 'numbers', 'than')",4.4092742496668783e-07
41,"('weeks', 'higher', 'numbers')",4.4092742496668783e-07
42,"('americans', 'about', 'their')",4.4092742496668783e-07
43,"('choose', 'between', 'allowing')",4.4092742496668783e-07
44,"('allowing', 'without', 'restriction')",4.4092742496668783e-07
45,"('allowing', 'legal', 'abortion')",4.4092742496668783e-07
46,"('illegal', 'following', 'scenarios')",4.4092742496668783e-07
47,"('legal', 'illegal', 'following')",4.4092742496668783e-07
48,"('should', 'legal', 'illegal')",4.4092742496668783e-07
49,"('whether', 'abortion', 'should')",4.4092742496668783e-07
