,word,relevance_score
0,"('national', 'right', 'life')",1.9698960844004891
1,"('right', 'life', 'committee')",1.3496486784806203
2,"('model', 'legislation', 'that')",2.0590401181289707e-05
3,"('national', 'conference', 'catholic')",2.0590401181289707e-05
4,"('life', 'committee', 'nrlc')",1.1197922248002147e-05
5,"('john', 'willke', 'ohio')",1.0590494542464927e-05
6,"('wisconsin', 'right', 'life')",1.0590494542464927e-05
7,"('ruling', 'supreme', 'court')",1.0590494542464927e-05
8,"('human', 'life', 'amendment')",1.0590494542464927e-05
9,"('nrlc', 'held', 'first')",1.0590494542464927e-05
10,"('right', 'life', 'political')",1.0590494542464927e-05
11,"('heavily', 'restrict', 'abortion')",1.0590494542464927e-05
12,"('life', 'political', 'action')",1.0590494542464927e-05
13,"('that', 'would', 'heavily')",1.0590494542464927e-05
14,"('exclusively', 'republican', 'candidates')",1.0590494542464927e-05
15,"('almost', 'exclusively', 'republican')",1.0590494542464927e-05
16,"('antiabortion', 'almost', 'exclusively')",1.0590494542464927e-05
17,"('would', 'heavily', 'restrict')",1.0590494542464927e-05
18,"('against', 'shaysmeehan', 'bill')",5.90588296529029e-07
19,"('lobbied', 'against', 'shaysmeehan')",5.90588296529029e-07
20,"('aggressively', 'lobbied', 'against')",5.90588296529029e-07
21,"('nlrc', 'aggressively', 'lobbied')",5.90588296529029e-07
22,"('election', 'nlrc', 'aggressively')",5.90588296529029e-07
23,"('campaign', 'contributions', 'presidential')",5.90588296529029e-07
24,"('contributions', 'presidential', 'election')",5.90588296529029e-07
25,"('financing', 'through', 'million')",5.90588296529029e-07
26,"('through', 'million', 'campaign')",5.90588296529029e-07
27,"('shaysmeehan', 'bill', 'which')",5.90588296529029e-07
28,"('million', 'campaign', 'contributions')",5.90588296529029e-07
29,"('presidential', 'election', 'nlrc')",5.90588296529029e-07
30,"('bill', 'which', 'later')",5.90588296529029e-07
31,"('many', 'other', 'nonpartisan')",5.90588296529029e-07
32,"('became', 'bipartisan', 'campaign')",5.90588296529029e-07
33,"('campaign', 'reform', 'bcra')",5.90588296529029e-07
34,"('reform', 'bcra', 'because')",5.90588296529029e-07
35,"('bcra', 'because', 'would')",5.90588296529029e-07
36,"('because', 'would', 'reclassify')",5.90588296529029e-07
37,"('would', 'reclassify', 'many')",5.90588296529029e-07
38,"('reclassify', 'many', 'other')",5.90588296529029e-07
39,"('campaign', 'financing', 'through')",5.90588296529029e-07
40,"('other', 'nonpartisan', 'groups')",5.90588296529029e-07
41,"('nonpartisan', 'groups', ""'"")",5.90588296529029e-07
42,"('groups', ""'"", 'campaign')",5.90588296529029e-07
43,"(""'"", 'campaign', 'contributions')",5.90588296529029e-07
44,"('campaign', 'contributions', 'bipartisan')",5.90588296529029e-07
45,"('later', 'became', 'bipartisan')",5.90588296529029e-07
46,"('player', 'campaign', 'financing')",5.90588296529029e-07
47,"('from', 'legal', 'challenges')",5.90588296529029e-07
48,"('became', 'major', 'player')",5.90588296529029e-07
49,"('founded', 'support', 'antiabortion')",5.90588296529029e-07
