,word,relevance_score
0,"('``', 'jane', 'roe')",1.0142924690046446e-05
1,"(""''"", 'mccorvey', 'said')",1.0142924690046446e-05
2,"('with', 'connie', 'gonzalez')",1.0142924690046446e-05
3,"('family', 'american', 'story')",1.0142924690046446e-05
4,"('into', 'catholic', 'church')",1.0142924690046446e-05
5,"('received', 'into', 'catholic')",1.0142924690046446e-05
6,"('mccorvey', 'third', 'child')",1.0142924690046446e-05
7,"('told', 'press', 'that')",1.0142924690046446e-05
8,"('mccorvey', 'told', 'press')",1.0142924690046446e-05
9,"('relationship', 'with', 'connie')",1.0142924690046446e-05
10,"('mccorvey', 'stated', 'that')",1.0142924690046446e-05
11,"('that', 'been', 'raped')",1.0142924690046446e-05
12,"('said', 'that', 'mccorvey')",1.0142924690046446e-05
13,"('deathbed', 'confession', ""''"")",1.0142924690046446e-05
14,"('``', 'deathbed', 'confession')",1.0142924690046446e-05
15,"('jane', 'roe', ""''"")",1.0142924690046446e-05
16,"('notre', 'dame', 'mccorvey')",1.4300346496240674e-07
17,"('after', 'mccorvey', 'another')",1.4300346496240674e-07
18,"('sotomayor', 'after', 'mccorvey')",1.4300346496240674e-07
19,"('sonia', 'sotomayor', 'after')",1.4300346496240674e-07
20,"('states', 'sonia', 'sotomayor')",1.4300346496240674e-07
21,"('united', 'states', 'sonia')",1.4300346496240674e-07
22,"('confirmation', 'supreme', 'court')",1.4300346496240674e-07
23,"('first', 'senate', 'hearings')",1.4300346496240674e-07
24,"('senate', 'hearings', 'confirmation')",1.4300346496240674e-07
25,"('dame', 'mccorvey', 'arrested')",1.4300346496240674e-07
26,"('arrested', 'first', 'senate')",1.4300346496240674e-07
27,"('mccorvey', 'arrested', 'first')",1.4300346496240674e-07
28,"('mccorvey', 'another', 'protester')",1.4300346496240674e-07
29,"('hearings', 'confirmation', 'supreme')",1.4300346496240674e-07
30,"('another', 'protester', 'began')",1.4300346496240674e-07
31,"('statement', 'mccorvey', 'appeared')",1.4300346496240674e-07
32,"('began', 'shouting', 'during')",1.4300346496240674e-07
33,"('message', 'also', 'subject')",1.4300346496240674e-07
34,"('antiabortion', 'message', 'also')",1.4300346496240674e-07
35,"('delivers', 'antiabortion', 'message')",1.4300346496240674e-07
36,"('which', 'delivers', 'antiabortion')",1.4300346496240674e-07
37,"('doonby', 'which', 'delivers')",1.4300346496240674e-07
38,"('film', 'doonby', 'which')",1.4300346496240674e-07
39,"('protester', 'began', 'shouting')",1.4300346496240674e-07
40,"('appeared', 'film', 'doonby')",1.4300346496240674e-07
41,"('graduates', 'university', 'notre')",1.4300346496240674e-07
42,"('opening', 'statement', 'mccorvey')",1.4300346496240674e-07
43,"('franken', 'opening', 'statement')",1.4300346496240674e-07
44,"('senator', 'franken', 'opening')",1.4300346496240674e-07
45,"('during', 'senator', 'franken')",1.4300346496240674e-07
46,"('shouting', 'during', 'senator')",1.4300346496240674e-07
47,"('mccorvey', 'appeared', 'film')",1.4300346496240674e-07
48,"('address', 'graduates', 'university')",1.4300346496240674e-07
49,"('active', 'antiabortion', 'demonstrations')",1.4300346496240674e-07
