,word,relevance_score
0,"('planned', 'parenthood', 'federation')",2.379795580504146
1,"('parenthood', 'federation', 'america')",1.8896530115631367
2,"('planned', 'parenthood', 'clinic')",1.8896530115631367
3,"('planned', 'parenthood', 'action')",1.711665273588709
4,"('parenthood', 'action', 'fund')",1.711665273588709
5,"('family', 'planning', 'services')",1.4873713018397572
6,"('international', 'planned', 'parenthood')",1.1676774801682612
7,"('planned', 'parenthood', 'clinics')",1.1676774801682612
8,"('president', 'planned', 'parenthood')",1.1676774801682612
9,"('planned', 'parenthood', 'also')",1.1676774801682612
10,"('that', 'planned', 'parenthood')",1.1676774801682612
11,"('center', 'medical', 'progress')",2.0230558926010473e-05
12,"('parenthood', 'challenged', 'constitutionality')",2.0230558926010473e-05
13,"('planned', 'parenthood', 'challenged')",2.0230558926010473e-05
14,"('with', 'planned', 'parenthood')",2.0230558926010473e-05
15,"('federal', 'family', 'planning')",2.0230558926010473e-05
16,"('planned', 'parenthood', 'global')",2.0230558926010473e-05
17,"('reproductive', 'health', 'services')",2.0230558926010473e-05
18,"('birth', 'control', 'league')",2.0230558926010473e-05
19,"('american', 'birth', 'control')",2.0230558926010473e-05
20,"('turn', 'over', 'medical')",1.0230046363134007e-05
21,"('from', 'planned', 'parenthood')",1.0230046363134007e-05
22,"('parenthood', 'planned', 'parenthood')",1.0230046363134007e-05
23,"('planned', 'parenthood', 'planned')",1.0230046363134007e-05
24,"('missouri', 'encompassing', 'parental')",1.0230046363134007e-05
25,"('constitutionality', 'missouri', 'encompassing')",1.0230046363134007e-05
26,"('challenged', 'constitutionality', 'missouri')",1.0230046363134007e-05
27,"('planned', 'parenthood', 'been')",1.0230046363134007e-05
28,"('antiabortion', 'groups', 'have')",1.0230046363134007e-05
29,"('notification', 'before', 'abortion')",1.0230046363134007e-05
30,"('parental', 'notification', 'before')",1.0230046363134007e-05
31,"('planned', 'parenthood', '``')",1.0230046363134007e-05
32,"('funding', 'can', 'not')",1.0230046363134007e-05
33,"('over', 'medical', 'records')",1.0230046363134007e-05
34,"('``', 'planned', 'parenthood')",1.0230046363134007e-05
35,"('promote', 'birth', 'control')",1.0230046363134007e-05
36,"('america', 'records', 'sophia')",1.0230046363134007e-05
37,"('medical', 'progress', 'videos')",1.0230046363134007e-05
38,"('college', 'special', 'collections')",1.0230046363134007e-05
39,"('smith', 'college', 'special')",1.0230046363134007e-05
40,"('collection', 'smith', 'college')",1.0230046363134007e-05
41,"('smith', 'collection', 'smith')",1.0230046363134007e-05
42,"('sophia', 'smith', 'collection')",1.0230046363134007e-05
43,"('records', 'sophia', 'smith')",1.0230046363134007e-05
44,"('planned', 'parenthood', 'employees')",1.0230046363134007e-05
45,"('abortion', 'services', 'antiabortion')",1.0230046363134007e-05
46,"('violence', 'antiabortion', 'activists')",1.0230046363134007e-05
47,"('investigate', 'planned', 'parenthood')",1.0230046363134007e-05
48,"('select', 'investigative', 'panel')",1.0230046363134007e-05
49,"('wrongdoing', 'planned', 'parenthood')",1.0230046363134007e-05
