,word,relevance_score
0,"('weeks', ""'"", 'gestational')",1.0043367658478855e-05
1,"('awareness', 'act', ""''"")",1.0043367658478855e-05
2,"('child', 'pain', 'awareness')",1.0043367658478855e-05
3,"('unborn', 'child', 'pain')",1.0043367658478855e-05
4,"('``', 'unborn', 'child')",1.0043367658478855e-05
5,"('read', 'twice', 'referred')",1.0043367658478855e-05
6,"('pain', 'awareness', 'act')",1.0043367658478855e-05
7,"('introduced', 'bill', 'called')",1.0043367658478855e-05
8,"('fetus', 'feel', 'pain')",1.0043367658478855e-05
9,"('british', 'medical', 'journal')",1.0043367658478855e-05
10,"('general', 'anesthesia', 'which')",1.0043367658478855e-05
11,"('weeks', ""'"", 'gestation')",1.0043367658478855e-05
12,"('bill', 'called', '``')",1.0043367658478855e-05
13,"('anesthesia', 'were', 'enough')",4.3467366380476856e-08
14,"('likely', 'with', 'procedure')",4.3467366380476856e-08
15,"('with', 'procedure', 'legal')",4.3467366380476856e-08
16,"('procedure', 'legal', 'abortion')",4.3467366380476856e-08
17,"('abortion', ""''"", 'mothers')",4.3467366380476856e-08
18,"(""''"", 'mothers', ""'"")",4.3467366380476856e-08
19,"('mothers', ""'"", 'general')",4.3467366380476856e-08
20,"(""'"", 'general', 'anesthesia')",4.3467366380476856e-08
21,"('general', 'anesthesia', 'were')",4.3467366380476856e-08
22,"('were', 'enough', 'anesthetise')",4.3467366380476856e-08
23,"('born', 'sleepy', 'after')",4.3467366380476856e-08
24,"('anesthetise', 'fetus', 'fetuses')",4.3467366380476856e-08
25,"('fetus', 'fetuses', 'would')",4.3467366380476856e-08
26,"('fetuses', 'would', 'born')",4.3467366380476856e-08
27,"('would', 'born', 'sleepy')",4.3467366380476856e-08
28,"('consider', 'likely', 'with')",4.3467366380476856e-08
29,"('sleepy', 'after', 'cesarean')",4.3467366380476856e-08
30,"('after', 'cesarean', 'section')",4.3467366380476856e-08
31,"('cesarean', 'section', 'performed')",4.3467366380476856e-08
32,"('section', 'performed', 'general')",4.3467366380476856e-08
33,"('enough', 'anesthetise', 'fetus')",4.3467366380476856e-08
34,"('physiologists', 'consider', 'likely')",4.3467366380476856e-08
35,"('pain', 'albeit', 'much')",4.3467366380476856e-08
36,"('most', 'embryologists', 'physiologists')",4.3467366380476856e-08
37,"('``', 'unhelpful', 'women')",4.3467366380476856e-08
38,"('unhelpful', 'women', 'scientific')",4.3467366380476856e-08
39,"('women', 'scientific', 'debate')",4.3467366380476856e-08
40,"('scientific', 'debate', ""''"")",4.3467366380476856e-08
41,"('debate', ""''"", 'despite')",4.3467366380476856e-08
42,"(""''"", 'despite', 'report')",4.3467366380476856e-08
43,"('despite', 'report', 'british')",4.3467366380476856e-08
44,"('report', 'british', 'medical')",4.3467366380476856e-08
45,"('medical', 'journal', 'that')",4.3467366380476856e-08
46,"('journal', 'that', '``')",4.3467366380476856e-08
47,"('``', 'the', 'theoretical')",4.3467366380476856e-08
48,"('the', 'theoretical', 'possibility')",4.3467366380476856e-08
49,"('theoretical', 'possibility', 'that')",4.3467366380476856e-08
