,word,relevance_score
0,"('``', 'right', 'life')",2.0088481496818604e-05
1,"('right', 'life', ""''"")",2.0088481496818604e-05
2,"('``', 'antiabortion', ""''"")",1.0088580610526255e-05
3,"('``', 'abortion', 'rights')",1.0088580610526255e-05
4,"('labels', 'prochoice', 'prolife')",1.0088580610526255e-05
5,"(""''"", '``', 'right')",1.0088580610526255e-05
6,"('prolife', ""''"", '``')",1.0088580610526255e-05
7,"('phrase', '``', 'right')",1.0088580610526255e-05
8,"('``', 'proabortion', ""''"")",1.0088580610526255e-05
9,"('cited', 'oxford', 'english')",1.0088580610526255e-05
10,"('``', 'antilife', ""''"")",1.0088580610526255e-05
11,"(""''"", '``', 'antilife')",1.0088580610526255e-05
12,"('antichoice', ""''"", '``')",1.0088580610526255e-05
13,"('``', 'antichoice', ""''"")",1.0088580610526255e-05
14,"('oxford', 'english', 'dictionary')",1.0088580610526255e-05
15,"('that', 'they', 'either')",8.867972324237151e-08
16,"('they', 'either', '``')",8.867972324237151e-08
17,"('either', '``', 'antichoice')",8.867972324237151e-08
18,"('antilife', ""''"", '``')",8.867972324237151e-08
19,"(""''"", '``', 'prodeath')",8.867972324237151e-08
20,"(""''"", 'decision', 'brand')",8.867972324237151e-08
21,"('prodeath', ""''"", 'decision')",8.867972324237151e-08
22,"('decision', 'brand', 'movements')",8.867972324237151e-08
23,"('movements', 'positive', 'rather')",8.867972324237151e-08
24,"('implying', 'that', 'they')",8.867972324237151e-08
25,"('brand', 'movements', 'positive')",8.867972324237151e-08
26,"('``', 'prodeath', ""''"")",8.867972324237151e-08
27,"('debate', 'implying', 'that')",8.867972324237151e-08
28,"('prolife', 'viceversa', 'terms')",8.867972324237151e-08
29,"('other', 'side', 'debate')",8.867972324237151e-08
30,"('derogating', 'other', 'side')",8.867972324237151e-08
31,"('interpreted', 'derogating', 'other')",8.867972324237151e-08
32,"('commonly', 'interpreted', 'derogating')",8.867972324237151e-08
33,"('terms', 'commonly', 'interpreted')",8.867972324237151e-08
34,"('viceversa', 'terms', 'commonly')",8.867972324237151e-08
35,"('positive', 'rather', 'than')",8.867972324237151e-08
36,"('term', 'prolife', 'viceversa')",8.867972324237151e-08
37,"('framing', 'term', 'prolife')",8.867972324237151e-08
38,"('reject', 'framing', 'term')",8.867972324237151e-08
39,"('generally', 'reject', 'framing')",8.867972324237151e-08
40,"('prochoice', 'generally', 'reject')",8.867972324237151e-08
41,"('identify', 'prochoice', 'generally')",8.867972324237151e-08
42,"('side', 'debate', 'implying')",8.867972324237151e-08
43,"('rather', 'than', 'negative')",8.867972324237151e-08
44,"('``', 'right', 'work')",8.867972324237151e-08
45,"('negative', 'terms', 'been')",8.867972324237151e-08
46,"('``', 'frivolous', ""''"")",8.867972324237151e-08
47,"('undesirably', '``', 'frivolous')",8.867972324237151e-08
48,"('have', 'undesirably', '``')",8.867972324237151e-08
49,"('might', 'have', 'undesirably')",8.867972324237151e-08
