,word,relevance_score
0,"('prolife', 'alliance', 'gays')",1.0147702465462033e-05
1,"('alliance', 'gays', 'lesbians')",1.0147702465462033e-05
2,"('opponents', 'legal', 'abortion')",1.0147702465462033e-05
3,"('from', 'antiabortion', 'community')",1.0147702465462033e-05
4,"('their', 'position', 'part')",1.0147702465462033e-05
5,"('distributed', 'literature', 'during')",1.1471483083517256e-07
6,"('members', 'distributed', 'literature')",1.1471483083517256e-07
7,"('where', 'members', 'distributed')",1.1471483083517256e-07
8,"('route', 'where', 'members')",1.1471483083517256e-07
9,"('parade', 'route', 'where')",1.1471483083517256e-07
10,"('along', 'parade', 'route')",1.1471483083517256e-07
11,"('table', 'along', 'parade')",1.1471483083517256e-07
12,"('plagal', 'table', 'along')",1.1471483083517256e-07
13,"('denied', 'plagal', 'table')",1.1471483083517256e-07
14,"('annual', 'pride', 'parade')",1.1471483083517256e-07
15,"('pride', 'parade', 'denied')",1.1471483083517256e-07
16,"('literature', 'during', 'parade')",1.1471483083517256e-07
17,"('boston', 'annual', 'pride')",1.1471483083517256e-07
18,"('participation', 'boston', 'annual')",1.1471483083517256e-07
19,"('applied', 'participation', 'boston')",1.1471483083517256e-07
20,"('plagal', 'applied', 'participation')",1.1471483083517256e-07
21,"('however', 'plagal', 'applied')",1.1471483083517256e-07
22,"('civil', 'however', 'plagal')",1.1471483083517256e-07
23,"('always', 'civil', 'however')",1.1471483083517256e-07
24,"('parade', 'denied', 'plagal')",1.1471483083517256e-07
25,"('during', 'parade', 'table')",1.1471483083517256e-07
26,"('table', 'surrounded', 'angry')",1.1471483083517256e-07
27,"('peaceful', 'always', 'civil')",1.1471483083517256e-07
28,"('major', 'rights', 'interest')",1.1471483083517256e-07
29,"('equality', 'major', 'rights')",1.1471483083517256e-07
30,"('march', 'equality', 'major')",1.1471483083517256e-07
31,"('millennium', 'march', 'equality')",1.1471483083517256e-07
32,"('orderat', 'millennium', 'march')",1.1471483083517256e-07
33,"('restore', 'orderat', 'millennium')",1.1471483083517256e-07
34,"('area', 'restore', 'orderat')",1.1471483083517256e-07
35,"('parade', 'area', 'restore')",1.1471483083517256e-07
36,"('leave', 'parade', 'area')",1.1471483083517256e-07
37,"('plagal', 'leave', 'parade')",1.1471483083517256e-07
38,"('asking', 'plagal', 'leave')",1.1471483083517256e-07
39,"('police', 'asking', 'plagal')",1.1471483083517256e-07
40,"('leading', 'police', 'asking')",1.1471483083517256e-07
41,"('leaflets', 'leading', 'police')",1.1471483083517256e-07
42,"('plagal', 'leaflets', 'leading')",1.1471483083517256e-07
43,"('tore', 'plagal', 'leaflets')",1.1471483083517256e-07
44,"('hecklers', 'tore', 'plagal')",1.1471483083517256e-07
45,"('angry', 'hecklers', 'tore')",1.1471483083517256e-07
46,"('surrounded', 'angry', 'hecklers')",1.1471483083517256e-07
47,"('parade', 'table', 'surrounded')",1.1471483083517256e-07
48,"('remains', 'peaceful', 'always')",1.1471483083517256e-07
49,"('within', 'lesbian', 'community')",1.1471483083517256e-07
