,word,relevance_score
0,"('pregnancy', 'from', 'rape')",1.1577502007658522
1,"('resulting', 'from', 'rape')",1.1577502007658522
2,"('isbn', 'retrieved', 'february')",1.1577502007658522
3,"('where', 'abortion', 'illegal')",2.014833148662768e-05
4,"('belief', 'that', 'pregnancy')",2.014833148662768e-05
5,"('pregnancy', 'resulting', 'from')",2.014833148662768e-05
6,"('isbn', 'retrieved', 'january')",2.014833148662768e-05
7,"('crime', 'crime', 'against')",1.0148431573401702e-05
8,"('crime', 'against', 'humanity')",1.0148431573401702e-05
9,"('forced', 'pregnancy', ""''"")",1.0148431573401702e-05
10,"('already', 'pregnant', 'before')",1.0148431573401702e-05
11,"('from', 'rape', 'were')",1.0148431573401702e-05
12,"('that', 'woman', 'conceive')",1.0148431573401702e-05
13,"('british', 'legal', 'text')",1.0148431573401702e-05
14,"('conceived', 'through', 'rape')",1.0148431573401702e-05
15,"('argued', 'that', 'pregnancy')",1.0148431573401702e-05
16,"('rape', ""''"", 'journal')",1.0148431573401702e-05
17,"('could', 'occur', 'without')",1.0148431573401702e-05
18,"('that', 'pregnancy', 'could')",1.0148431573401702e-05
19,"('press', 'isbn', 'retrieved')",1.0148431573401702e-05
20,"('sexual', 'intercourse', 'with')",1.0148431573401702e-05
21,"('conception', 'following', 'rape')",1.0148431573401702e-05
22,"('studies', 'have', 'reported')",1.0148431573401702e-05
23,"('subsequently', 'became', 'pregnant')",1.0148431573401702e-05
24,"('rate', 'from', 'rape')",1.0148431573401702e-05
25,"('pregnancy', 'rate', 'from')",1.0148431573401702e-05
26,"('pregnancies', 'from', 'rape')",1.0148431573401702e-05
27,"('result', 'from', 'rape')",1.0148431573401702e-05
28,"('countries', 'where', 'abortion')",1.0148431573401702e-05
29,"('sociobiological', 'theories', 'rape')",1.0148431573401702e-05
30,"('incest', 'underage', 'pregnancy')",1.0148431573401702e-05
31,"('rape', 'incest', 'underage')",1.0148431573401702e-05
32,"('statutory', 'rape', 'incest')",1.0148431573401702e-05
33,"('women', 'children', 'were')",2.777804974046848e-07
34,"('from', 'trauma', 'rape')",1.4853019767402908e-07
35,"('recovering', 'from', 'trauma')",1.4853019767402908e-07
36,"('third', 'cases', 'raperelated')",1.4853019767402908e-07
37,"('abortion', 'still', 'recovering')",1.4853019767402908e-07
38,"('trauma', 'rape', 'itselfin')",1.4853019767402908e-07
39,"('still', 'recovering', 'from')",1.4853019767402908e-07
40,"('rape', 'itselfin', 'united')",1.4853019767402908e-07
41,"('listed', 'rape', 'incest')",1.4853019767402908e-07
42,"('states', 'percent', 'women')",1.4853019767402908e-07
43,"('percent', 'women', 'questioned')",1.4853019767402908e-07
44,"('women', 'questioned', 'listed')",1.4853019767402908e-07
45,"('questioned', 'listed', 'rape')",1.4853019767402908e-07
46,"('legal', 'abortion', 'still')",1.4853019767402908e-07
47,"('rape', 'incest', 'reason')",1.4853019767402908e-07
48,"('itselfin', 'united', 'states')",1.4853019767402908e-07
49,"('access', 'legal', 'abortion')",1.4853019767402908e-07
