,word,relevance_score
0,"('national', 'conference', 'catholic')",2.0356351755228802e-05
1,"('firearms', ""'"", 'section')",2.0356351755228802e-05
2,"('international', 'human', 'rights')",1.0712885178230741e-05
3,"('enforcement', 'agents', ""'"")",1.0356448426682245e-05
4,"('which', 'enforcement', 'agents')",1.0356448426682245e-05
5,"('agent', 'other', 'civilians')",1.0356448426682245e-05
6,"('rosenfeld', 'states', 'that')",1.0356448426682245e-05
7,"('states', 'that', 'there')",1.0356448426682245e-05
8,"('lethal', 'force', 'from')",1.0356448426682245e-05
9,"('black', 'male', 'civilians')",1.0356448426682245e-05
10,"('life', 'lives', 'others')",1.0356448426682245e-05
11,"('lethal', 'force', 'must')",1.0356448426682245e-05
12,"('reasonable', 'belief', 'that')",1.0356448426682245e-05
13,"('supreme', 'court', 'find')",1.0356448426682245e-05
14,"('that', 'persons', 'have')",1.0356448426682245e-05
15,"('process', 'through', 'which')",1.0356448426682245e-05
16,"('persons', 'have', 'right')",1.0356448426682245e-05
17,"('right', 'life', 'liberty')",1.0356448426682245e-05
18,"('life', 'liberty', 'security')",1.0356448426682245e-05
19,"('liberty', 'security', 'person')",1.0356448426682245e-05
20,"('this', 'right', 'shall')",1.0356448426682245e-05
21,"('right', 'shall', 'protected')",1.0356448426682245e-05
22,"('shall', 'arbitrarily', 'deprived')",1.0356448426682245e-05
23,"('arbitrarily', 'deprived', 'life')",1.0356448426682245e-05
24,"('right', 'life', 'personal')",1.0356448426682245e-05
25,"('threatening', 'enforcement', 'agent')",1.0356448426682245e-05
26,"('life', 'personal', 'liberty')",1.0356448426682245e-05
27,"('proportionately', 'appropriate', 'force')",1.0356448426682245e-05
28,"('book', 'human', 'rights')",1.0356448426682245e-05
29,"('``', 'right', 'life')",1.0356448426682245e-05
30,"('right', 'life', ""''"")",1.0356448426682245e-05
31,"('right', 'life', 'directly')",1.0356448426682245e-05
32,"('society', 'human', 'authority')",1.0356448426682245e-05
33,"('address', 'midwives', 'nature')",1.0356448426682245e-05
34,"('midwives', 'nature', 'their')",1.0356448426682245e-05
35,"('human', 'rights', 'police')",1.0356448426682245e-05
36,"('violation', 'right', 'life')",1.0356448426682245e-05
37,"('because', 'right', 'life')",1.0356448426682245e-05
38,"('nature', 'their', 'profession')",1.0356448426682245e-05
39,"(""'"", 'section', 'pocket')",1.0356448426682245e-05
40,"('human', 'rights', 'standards')",1.0356448426682245e-05
41,"('rights', 'standards', 'enforcement')",1.0356448426682245e-05
42,"('enforcement', 'agents', 'must')",1.0356448426682245e-05
43,"('pocket', 'book', 'human')",1.0356448426682245e-05
44,"('right', 'life', 'most')",1.0356448426682245e-05
45,"('section', 'pocket', 'book')",1.0356448426682245e-05
46,"('human', 'rights', 'adopted')",1.0695994443262506e-06
47,"('that', 'made', 'suspicious')",3.5654486080674546e-07
48,"('circumstances', 'that', 'made')",3.5654486080674546e-07
49,"('witnessed', 'circumstances', 'that')",3.5654486080674546e-07
