,word,relevance_score
0,"('population', 'control', 'movement')",1.7091063670381867
1,"('abortion', 'united', 'states')",1.164445527736738
2,"('said', 'abortion', 'should')",1.164445527736738
3,"('abortion', 'should', 'legal')",1.138654901747788
4,"('support', 'abortion', 'rights')",0.9182622163058864
5,"('jackson', 'women', 'health')",2.0793668977462522e-05
6,"('women', 'health', 'organization')",2.0793668977462522e-05
7,"('chief', 'justice', 'rehnquist')",2.0397444085305243e-05
8,"('abortion', 'should', 'illegal')",2.019775546777395e-05
9,"('whole', 'woman', 'health')",2.019775546777395e-05
10,"('choose', 'have', 'abortion')",2.019775546777395e-05
11,"('right', 'choose', 'have')",2.019775546777395e-05
12,"('woman', 'right', 'abortion')",2.019775546777395e-05
13,"('webster', 'reproductive', 'health')",2.019775546777395e-05
14,"('jane', 'roe', ""''"")",2.019775546777395e-05
15,"('``', 'jane', 'roe')",2.019775546777395e-05
16,"('reproductive', 'health', 'services')",2.019775546777395e-05
17,"('dobbs', 'jackson', 'women')",1.079406107737107e-05
18,"('those', 'said', 'abortion')",1.019786735272211e-05
19,"('political', 'processes', 'people')",1.019786735272211e-05
20,"('processes', 'people', 'have')",1.019786735272211e-05
21,"('should', 'legal', 'under')",1.019786735272211e-05
22,"('people', 'have', 'devised')",1.019786735272211e-05
23,"('have', 'devised', 'govern')",1.019786735272211e-05
24,"('devised', 'govern', 'their')",1.019786735272211e-05
25,"('want', 'their', 'state')",1.019786735272211e-05
26,"('govern', 'their', 'affairs')",1.019786735272211e-05
27,"('their', 'affairs', ""''"")",1.019786735272211e-05
28,"('fourteenth', 'amendment', 'adopted')",1.019786735272211e-05
29,"('concluded', '``', 'the')",1.019786735272211e-05
30,"('within', 'population', 'control')",1.019786735272211e-05
31,"('supported', 'abortion', 'rights')",1.019786735272211e-05
32,"('supporters', 'abortion', 'rights')",1.019786735272211e-05
33,"('right', 'abortion', 'found')",1.019786735272211e-05
34,"('have', 'similar', 'views')",1.019786735272211e-05
35,"('percent', 'those', 'said')",1.019786735272211e-05
36,"('would', 'like', 'overturned')",1.019786735272211e-05
37,"('cases', 'rape', 'incest')",1.019786735272211e-05
38,"('with', 'people', 'political')",1.019786735272211e-05
39,"('naral', 'prochoice', 'america')",1.019786735272211e-05
40,"(""''"", 'predicted', 'that')",1.019786735272211e-05
41,"('published', 'justice', 'blackmun')",1.019786735272211e-05
42,"('that', 'first', 'trimester')",1.019786735272211e-05
43,"('with', 'companion', 'case')",1.019786735272211e-05
44,"('companion', 'case', 'bolton')",1.019786735272211e-05
45,"('woman', 'decision', 'whether')",1.019786735272211e-05
46,"('this', 'right', 'privacy')",1.019786735272211e-05
47,"('that', 'women', 'abortion')",1.019786735272211e-05
48,"('interest', 'protecting', 'prenatal')",1.019786735272211e-05
49,"('protecting', 'prenatal', 'life')",1.019786735272211e-05
