,word,relevance_score
0,"('decision', 'gonzales', 'carhart')",1.062544879118862e-05
1,"('stenberg', 'carhart', ""''"")",1.062544879118862e-05
2,"('constitutes', 'undue', 'burden')",1.062544879118862e-05
3,"('undue', 'burden', 'standard')",1.062544879118862e-05
4,"('include', 'exception', 'health')",1.062544879118862e-05
5,"('what', 'they', 'felt')",1.062544879118862e-05
6,"('exception', 'health', 'woman')",1.062544879118862e-05
7,"('other', 'than', 'what')",1.062544879118862e-05
8,"('other', 'forms', 'abortion')",1.062544879118862e-05
9,"('curettage', 'inside', 'uterus')",1.062544879118862e-05
10,"('``', 'partial', 'birth')",1.062544879118862e-05
11,"('than', 'what', 'they')",1.062544879118862e-05
12,"('that', 'join', 'casey')",6.25542525479733e-07
13,"('felt', 'that', 'justice')",6.25542525479733e-07
14,"('casey', 'felt', 'that')",6.25542525479733e-07
15,"('join', 'casey', 'felt')",6.25542525479733e-07
16,"('stated', 'that', 'join')",6.25542525479733e-07
17,"('that', 'unconstitutional', 'ginsburg')",6.25542525479733e-07
18,"('justice', 'rehnquist', 'stated')",6.25542525479733e-07
19,"('separate', 'opinion', 'chief')",6.25542525479733e-07
20,"('short', 'separate', 'opinion')",6.25542525479733e-07
21,"('that', 'justice', 'kennedy')",6.25542525479733e-07
22,"('rehnquist', 'stated', 'that')",6.25542525479733e-07
23,"('justice', 'kennedy', 'applied')",6.25542525479733e-07
24,"('thomas', 'read', 'dissent')",6.25542525479733e-07
25,"('applied', 'precedent', 'correctly')",6.25542525479733e-07
26,"('precedent', 'correctly', 'thus')",6.25542525479733e-07
27,"('correctly', 'thus', 'joined')",6.25542525479733e-07
28,"('thus', 'joined', 'opinion')",6.25542525479733e-07
29,"('clarence', 'thomas', 'read')",6.25542525479733e-07
30,"('abortion', 'short', 'separate')",6.25542525479733e-07
31,"('read', 'dissent', 'from')",6.25542525479733e-07
32,"('dissent', 'from', 'bench')",6.25542525479733e-07
33,"('from', 'bench', 'when')",6.25542525479733e-07
34,"('bench', 'when', 'decision')",6.25542525479733e-07
35,"('when', 'decision', 'announced')",6.25542525479733e-07
36,"('kennedy', 'applied', 'precedent')",6.25542525479733e-07
37,"('partialbirth', 'abortion', 'short')",6.25542525479733e-07
38,"('detailed', 'what', 'deemed')",6.25542525479733e-07
39,"('protected', 'alternative', 'partialbirth')",6.25542525479733e-07
40,"('preserve', 'prenatal', 'life')",6.25542525479733e-07
41,"('prenatal', 'life', 'certain')",6.25542525479733e-07
42,"('life', 'certain', 'extent')",6.25542525479733e-07
43,"('certain', 'extent', 'called')",6.25542525479733e-07
44,"('extent', 'called', 'sandra')",6.25542525479733e-07
45,"('called', 'sandra', ""o'connor"")",6.25542525479733e-07
46,"('sandra', ""o'connor"", 'opinion')",6.25542525479733e-07
47,"(""o'connor"", 'opinion', '``')",6.25542525479733e-07
48,"('opinion', '``', 'repudiation')",6.25542525479733e-07
49,"('``', 'repudiation', ""''"")",6.25542525479733e-07
