,word,relevance_score
0,"('whole', 'woman', 'health')",2.368861932686594
1,"('texas', 'right', 'life')",1.8791036172281377
2,"('’', 's', 'preroe')",1.476094202483302
3,"('woman', 'health', 'jackson')",1.476094202483302
4,"('with', 'whom', 'justice')",1.1543556468168061
5,"('before', 'judgment', 'filed')",1.1543556468168061
6,"('court', 'appeals', 'fifth')",1.1543556468168061
7,"('appeals', 'fifth', 'circuit')",1.1543556468168061
8,"('state', '’', 's')",0.908090619228475
9,"('petition', 'writ', 'certiorari')",2.028031062499993e-05
10,"('writ', 'certiorari', 'before')",2.028031062499993e-05
11,"('against', 'texas', 'right')",2.0108145940746712e-05
12,"('kagan', 'join', 'dissenting')",2.0108145940746712e-05
13,"('join', 'dissenting', 'justice')",2.0108145940746712e-05
14,"('justice', 'breyer', 'justice')",2.0108145940746712e-05
15,"('whom', 'justice', 'breyer')",2.0108145940746712e-05
16,"('filed', 'response', 'november')",2.0108145940746712e-05
17,"('judgment', 'filed', 'response')",2.0108145940746712e-05
18,"('october', 'petition', 'writ')",2.0108145940746712e-05
19,"('docketed', 'october', 'petition')",2.0108145940746712e-05
20,"('health', 'docketed', 'october')",2.0108145940746712e-05
21,"('state', 'licensing', 'officials')",2.0108145940746712e-05
22,"('justice', 'kagan', 'join')",2.0108145940746712e-05
23,"('abortion', 'providers', 'funders')",2.0108145940746712e-05
24,"('woman', 'health', 'docketed')",2.0108145940746712e-05
25,"('through', 'civil', 'lawsuits')",2.0108145940746712e-05
26,"('abortion', 'providers', 'their')",2.0108145940746712e-05
27,"('preroe', 'criminal', 'abortion')",2.0108145940746712e-05
28,"('charged', 'with', 'enforcing')",2.0108145940746712e-05
29,"('officials', 'charged', 'with')",2.0108145940746712e-05
30,"('state', 'officials', 'charged')",2.0108145940746712e-05
31,"('fifth', 'circuit', 'stay')",2.0108145940746712e-05
32,"('judge', 'robert', 'pitman')",2.0108145940746712e-05
33,"('texas', 'abortion', 'providers')",2.0108145940746712e-05
34,"('private', 'civilenforcement', 'lawsuits')",2.0108145940746712e-05
35,"('certiorari', 'before', 'judgment')",1.073161406184923e-05
36,"('fifth', 'circuit', 'court')",1.0280512221006494e-05
37,"('temporary', 'restraining', 'order')",1.0108281600831614e-05
38,"('that', 'state', 'judges')",1.0108281600831614e-05
39,"('texas', 'judicial', 'panel')",1.0108281600831614e-05
40,"('panel', 'fifth', 'circuit')",1.0108281600831614e-05
41,"('group', 'abortion', 'providers')",1.0108281600831614e-05
42,"('whole', 'women', 'health')",1.0108281600831614e-05
43,"('grant', 'permanent', 'injunction')",1.0108281600831614e-05
44,"('individuals', 'from', 'suing')",1.0108281600831614e-05
45,"('published', 'washington', 'post')",1.0108281600831614e-05
46,"('oped', 'published', 'washington')",1.0108281600831614e-05
47,"('judges', 'court', 'clerks')",1.0108281600831614e-05
48,"('civil', 'enforcement', 'mechanism')",1.0108281600831614e-05
49,"('that', 'abortion', 'providers')",1.0108281600831614e-05
