,word,relevance_score
0,"('unborn', 'child', ""''"")",1.1515692743617045
1,"('unborn', 'victims', 'violence')",2.0194264089844587e-05
2,"('``', 'child', 'utero')",2.0097232489734723e-05
3,"('child', 'utero', ""''"")",2.0097232489734723e-05
4,"('species', 'homo', 'sapiens')",2.0097232489734723e-05
5,"('offense', 'under', 'this')",2.0097232489734723e-05
6,"('woman', 'person', 'authorized')",1.009739195724276e-05
7,"('person', 'authorized', 'behalf')",1.009739195724276e-05
8,"('person', 'medical', 'treatment')",1.009739195724276e-05
9,"('medical', 'treatment', 'pregnant')",1.009739195724276e-05
10,"('treatment', 'pregnant', 'woman')",1.009739195724276e-05
11,"('pregnant', 'woman', 'unborn')",1.009739195724276e-05
12,"('death', 'bodily', 'injury')",1.009739195724276e-05
13,"('with', 'respect', 'unborn')",1.009739195724276e-05
14,"('pregnant', 'woman', 'person')",1.009739195724276e-05
15,"('under', 'this', 'section')",1.009739195724276e-05
16,"('person', 'engaging', 'conduct')",1.009739195724276e-05
17,"('sections', 'this', 'title')",1.009739195724276e-05
18,"('woman', 'with', 'respect')",1.009739195724276e-05
19,"('consent', 'pregnant', 'woman')",1.009739195724276e-05
20,"('woman', 'unborn', 'child')",1.009739195724276e-05
21,"('abortion', 'which', 'consent')",1.009739195724276e-05
22,"('which', 'consent', 'pregnant')",1.009739195724276e-05
23,"('federal', 'crimes', 'violence')",1.009739195724276e-05
24,"('member', 'species', 'homo')",1.009739195724276e-05
25,"('homo', 'sapiens', 'stage')",1.009739195724276e-05
26,"('stage', 'development', 'carried')",1.009739195724276e-05
27,"('sapiens', 'stage', 'development')",1.009739195724276e-05
28,"('states', 'also', 'recognize')",1.009739195724276e-05
29,"('``', 'unborn', 'child')",1.009739195724276e-05
30,"('person', 'conduct', 'relating')",1.009739195724276e-05
31,"('conduct', 'relating', 'abortion')",1.009739195724276e-05
32,"('relating', 'abortion', 'which')",1.009739195724276e-05
33,"('uniform', 'code', 'military')",1.9466004847415926e-07
34,"('``', 'person', ""''"")",1.9466004847415926e-07
35,"('code', 'military', 'justice')",1.9466004847415926e-07
36,"('period', 'prenatal', 'development')",9.749087003086247e-08
37,"('entire', 'period', 'prenatal')",9.749087003086247e-08
38,"('during', 'entire', 'period')",9.749087003086247e-08
39,"('crimes', 'during', 'entire')",9.749087003086247e-08
40,"('often', 'other', 'violent')",9.749087003086247e-08
41,"('other', 'violent', 'crimes')",9.749087003086247e-08
42,"('prenatal', 'development', 'states')",9.749087003086247e-08
43,"('homicide', 'often', 'other')",9.749087003086247e-08
44,"('victim', 'homicide', 'often')",9.749087003086247e-08
45,"('violent', 'crimes', 'during')",9.749087003086247e-08
46,"('development', 'states', 'during')",9.749087003086247e-08
47,"('states', 'legal', 'challenges')",9.749087003086247e-08
48,"('during', 'part', 'prenatal')",9.749087003086247e-08
49,"('part', 'prenatal', 'period')",9.749087003086247e-08
