,word,relevance_score
0,"('took', 'streets', 'across')",1.1898118903259702
1,"('streets', 'across', 'country')",2.037659963363346e-05
2,"('angeles', 'york', 'city')",1.0375401884766663e-05
3,"('country', 'most', 'notably')",1.0375401884766663e-05
4,"('across', 'country', 'most')",1.0375401884766663e-05
5,"('thousands', 'took', 'streets')",1.0375401884766663e-05
6,"('protesters', 'took', 'streets')",1.0375401884766663e-05
7,"('chicago', 'angeles', 'york')",1.0375401884766663e-05
8,"('rights', 'protests', 'united')",1.0375401884766663e-05
9,"('abortion', 'rights', 'protests')",1.0375401884766663e-05
10,"('part', 'abortion', 'rights')",1.0375401884766663e-05
11,"('possible', 'overturn', 'wade')",1.0375401884766663e-05
12,"('broke', 'some', 'citiesin')",3.7549792686638277e-07
13,"('washington', 'protests', 'remained')",3.7549792686638277e-07
14,"('protests', 'remained', 'largely')",3.7549792686638277e-07
15,"('remained', 'largely', 'peaceful')",3.7549792686638277e-07
16,"('largely', 'peaceful', 'however')",3.7549792686638277e-07
17,"('peaceful', 'however', 'clashes')",3.7549792686638277e-07
18,"('however', 'clashes', 'with')",3.7549792686638277e-07
19,"('with', 'police', 'broke')",3.7549792686638277e-07
20,"('police', 'broke', 'some')",3.7549792686638277e-07
21,"('city', 'washington', 'protests')",3.7549792686638277e-07
22,"('some', 'citiesin', 'angeles')",3.7549792686638277e-07
23,"('outside', 'angeles', 'city')",3.7549792686638277e-07
24,"('angeles', 'over', 'began')",3.7549792686638277e-07
25,"('over', 'began', 'protesting')",3.7549792686638277e-07
26,"('began', 'protesting', 'outside')",3.7549792686638277e-07
27,"('protesting', 'outside', 'angeles')",3.7549792686638277e-07
28,"('boston', 'chicago', 'angeles')",3.7549792686638277e-07
29,"('angeles', 'city', 'hall')",3.7549792686638277e-07
30,"('city', 'hall', 'iater')",3.7549792686638277e-07
31,"('hall', 'iater', 'clash')",3.7549792686638277e-07
32,"('iater', 'clash', 'broke')",3.7549792686638277e-07
33,"('clash', 'broke', 'with')",3.7549792686638277e-07
34,"('citiesin', 'angeles', 'over')",3.7549792686638277e-07
35,"('notably', 'boston', 'chicago')",3.7549792686638277e-07
36,"('held', 'across', 'united')",3.7549792686638277e-07
37,"('over', 'protesters', 'took')",3.7549792686638277e-07
38,"('notably', 'chicago', 'angeles')",3.7549792686638277e-07
39,"('hundreds', 'thousands', 'took')",3.7549792686638277e-07
40,"('streets', 'across', 'united')",3.7549792686638277e-07
41,"('united', 'states', 'internationally')",3.7549792686638277e-07
42,"('states', 'internationally', 'both')",3.7549792686638277e-07
43,"('internationally', 'both', 'protests')",3.7549792686638277e-07
44,"('both', 'protests', 'part')",3.7549792686638277e-07
45,"('protests', 'part', 'abortion')",3.7549792686638277e-07
46,"('states', 'were', 'beginning')",3.7549792686638277e-07
47,"('were', 'beginning', '``')",3.7549792686638277e-07
48,"('beginning', '``', 'summer')",3.7549792686638277e-07
49,"('``', 'summer', 'rage')",3.7549792686638277e-07
