,word,relevance_score
0,zika,5.498737287072629
1,prenatal,5.190895534630644
2,"""pro-choice""",4.739217673275355
3,"""unborn",4.739217673275355
4,"child""",4.739217673275355
5,"abortion""",4.024780131497913
6,pill,4.024780131497913
7,virus,3.632464527975729
8,"""pro-life""",3.6024259423806115
9,pregnant,3.549117506726565
10,pregnancy,2.9395312107237377
11,abortions,2.6370120557871637
12,viewpoint,2.4210917017314064
13,implies,1.9952701104626007
14,elective,1.9047957475301454
15,abortion,1.750912963845893
16,samoa,0.975840557371005
17,available,2.645211977951451e-05
18,care,1.7720024335745868e-05
19,morning,1.6575925627085965e-05
20,hospital,1.6264591136352313e-05
21,mother,1.3306436708551025e-05
22,light,1.2839278716506375e-05
23,funding,1.1931663820404173e-05
24,alternative,1.1749154555598892e-05
25,"""zygote""",9.844385416373139e-06
26,mifepristone,9.844385416373139e-06
27,"""elective",9.844385416373139e-06
28,medicinally,9.844385416373139e-06
29,contraceptive,9.844385416373139e-06
30,third-trimester,9.844385416373139e-06
31,"""embryo""",9.844385416373139e-06
32,reasonsanti-abortion,9.844385416373139e-06
33,"""anti-life""",9.844385416373139e-06
34,"""pro-death""",9.844385416373139e-06
35,"""anti-choice""",9.844385416373139e-06
36,"baby""",9.844385416373139e-06
37,"""fetus""",9.844385416373139e-06
38,"""pre-born",9.844385416373139e-06
39,"""abortion",9.844385416373139e-06
40,"""induced",9.844385416373139e-06
41,"""anti-abortion""",9.844385416373139e-06
42,condoms,9.688768617778019e-06
43,clinics,9.688768617778019e-06
44,disciplinary,9.688768617778019e-06
45,medications,9.688768617778019e-06
46,clinic,9.688768617778019e-06
47,purposely,9.688768617778019e-06
48,pills,9.533149600634491e-06
49,waited,9.533149600634491e-06
