,word,relevance_score
0,finkbine,6.183104815608738
1,menstrual,6.024081232546901
2,mcbride,6.024081232546901
3,clinic,5.486945340516664
4,miscarriage,5.292557963339643
5,sherri,5.292557963339643
6,clinics,4.900482367440843
7,injunction,4.900482367440843
8,stopthebans,4.841395032030464
9,pads,4.841395032030464
10,"""pro-choice""",4.841395032030464
11,"child""",4.841395032030464
12,deformities,4.841395032030464
13,"""unborn",4.841395032030464
14,trap,4.841395032030464
15,ibis,4.841395032030464
16,ultrasounds,4.841395032030464
17,tampons,4.841395032030464
18,abortions,4.760961831825773
19,"abortion""",4.58899796313776
20,pregnancy,4.2342077540400656
21,induced,4.198266312342945
22,olmsted,4.198266312342945
23,childbirth,4.127959382235779
24,medication,4.127959382235779
25,"""pro-life""",3.706541255299054
26,viability,3.706541255299054
27,hygiene,3.706541255299054
28,fetus,3.706541255299054
29,abortion,3.6917020841595667
30,pregnant,3.652292665953154
31,parenthood,3.6068773289025335
32,sister,3.404789939711283
33,procure,3.404789939711283
34,providers,3.240807581661858
35,maternal,3.1685773826153283
36,mercy,3.1685773826153283
37,dobbs,3.16665928031236
38,infant,3.16665928031236
39,arizona,3.0432187182624535
40,reproductive,2.9936756688236588
41,punished,2.9737455476653003
42,imprisonment,2.6617428808317807
43,save,2.654976671434911
44,offense,2.5318305593645247
45,viewpoint,2.5318305593645247
46,bans,2.414200593799285
47,restrictive,2.414200593799285
48,hospital,2.3554085159903178
49,wade,2.3131545573524597
