,word,relevance_score
0,menstrual,6.271815267134011
1,clinic,5.385238271233709
2,sensors,5.094022571096705
3,"child""",5.094022571096705
4,"""pro-choice""",5.094022571096705
5,"""unborn",5.094022571096705
6,ibis,5.094022571096705
7,tampons,5.094022571096705
8,pads,5.094022571096705
9,-weeks,5.094022571096705
10,fetus,4.739950148441918
11,pain,4.448604603645391
12,abortions,4.399570046426622
13,clinics,4.382918126129989
14,"abortion""",4.382918126129989
15,therapeutic,4.382918126129989
16,unborn,3.9636186022166786
17,"""pro-life""",3.9636186022166786
18,hygiene,3.9636186022166786
19,induced,3.663949126690908
20,maternal,3.429853728150587
21,infant,3.42235020407964
22,pregnancy,3.3005551405300313
23,reproductive,3.2476125623450898
24,abortion,3.0364830553204407
25,viewpoint,2.8026856138353002
26,restrictive,2.6878857537852183
27,arkansas,2.6361606181595136
28,implies,2.396981369967253
29,aged,2.3458534161574875
30,eighth,2.3131122591743836
31,blocked,2.2341534976013016
32,mortality,2.2341534976013016
33,informed,2.059907409085392
34,medical,1.8074145918678994
35,fewer,1.449386307905717
36,weeks,1.3727952154058725
37,women,1.2335102313952888
38,rates,3.8976555165055814e-05
39,terms,2.5835064027079343e-05
40,deaths,2.2821558421137877e-05
41,oklahoma,2.1942659388376455e-05
42,child,1.985656571445631e-05
43,ruling,1.930774529913416e-05
44,supporting,1.8539417135082467e-05
45,journal,1.8539417135082467e-05
46,woman,1.8319892109987217e-05
47,health,1.7523612130170755e-05
48,detailed,1.7117189700519974e-05
49,performed,1.7006703808987913e-05
