,word,relevance_score
0,menstrual,6.1853782129357775
1,fetal,5.4540586344377
2,ultrasound,5.4540586344377
3,clinics,5.298186979721422
4,ibis,5.004151987458641
5,"""abortion",5.004151987458641
6,"""pro-choice""",5.004151987458641
7,"child""",5.004151987458641
8,shané,5.004151987458641
9,"""unborn",5.004151987458641
10,rodney,5.004151987458641
11,stopthebans,5.004151987458641
12,d-newark,5.004151987458641
13,clinic,4.751170100429828
14,abortions,4.560930855640202
15,viability,4.338450075051515
16,"abortion""",4.292218913156882
17,therapeutic,4.292218913156882
18,"""pro-life""",3.8721750629944682
19,reproductive,3.7635435721591706
20,pregnancy,3.5352067694749634
21,townsend,3.4699336029607424
22,maternal,3.33695563341988
23,bryant,3.33695563341988
24,infant,3.331953068155332
25,richardson,3.258283487198826
26,abortion,3.0939570078789487
27,wilmington,2.9787275993425917
28,darby,2.9787275993425917
29,viewpoint,2.7065581987526
30,bans,2.590826268869932
31,aged,2.5126159554658396
32,parenthood,2.4850753352954746
33,wade,2.479710391312238
34,implies,2.2966619363702234
35,mortality,2.1311304028315594
36,"rights""",1.8442149003167092
37,week,1.652058095773416
38,overturned,1.5907249896743942
39,introduced,1.5326037532320311
40,protest,1.502215470619723
41,deaths,1.4391333097493795
42,women,1.35008306929526
43,fewer,1.3334523229873319
44,legal,1.0396532231970037
45,health,6.409322628787861e-05
46,rates,3.68153870984324e-05
47,delaware,2.9846021697261492e-05
48,ruling,2.825716462023894e-05
49,woman,2.7156794430035257e-05
