,word,relevance_score
0,gabel,5.194479478281966
1,clinic,5.0397784367641405
2,"""unborn",4.741561651450575
3,"child""",4.741561651450575
4,"""pro-choice""",4.741561651450575
5,referrals,4.027015848182046
6,"abortion""",4.027015848182046
7,abortions,3.848730408151506
8,"""pro-life""",3.6045656236966668
9,provider,3.0644900755121403
10,pregnancy,2.9428956304381457
11,utilized,2.8685181110815554
12,abortion,2.6530087589035274
13,doctors,2.499322640597827
14,viewpoint,2.422579686199049
15,guam,2.2627194076518857
16,performed,2.1281409545558243
17,providers,1.9960197219371842
18,implies,1.9960197219371842
19,chamorro,1.9052749138315317
20,medical,1.193677074833813
21,provide,2.2751780324900083e-05
22,retired,2.1499740453232974e-05
23,women,1.6666875331977883e-05
24,hospital,1.6306803438202672e-05
25,options,1.5242455063371775e-05
26,refused,1.5024225853427791e-05
27,openly,1.385804770622633e-05
28,woman,1.3250487651340522e-05
29,light,1.2922468342915223e-05
30,services,1.2738802291319531e-05
31,alternative,1.1817863794686622e-05
32,"""anti-life""",9.839515330473463e-06
33,gynecology,9.839515330473463e-06
34,"""abortion",9.839515330473463e-06
35,para,9.839515330473463e-06
36,-hour,9.839515330473463e-06
37,"""anti-choice""",9.839515330473463e-06
38,famalao’an,9.839515330473463e-06
39,"impair""",9.839515330473463e-06
40,"""fetus""",9.839515330473463e-06
41,"""zygote""",9.839515330473463e-06
42,"""embryo""",9.839515330473463e-06
43,"""pre-born",9.839515330473463e-06
44,"""pro-death""",9.839515330473463e-06
45,woman’s,9.839515330473463e-06
46,"""subjugation",9.839515330473463e-06
47,pokká,9.839515330473463e-06
48,obstetrics,9.839515330473463e-06
49,sterilization,9.839515330473463e-06
