,word,relevance_score
0,clinics,5.917814361398926
1,clinic,4.86650392509047
2,ibis,4.806466354223717
3,nonviable,4.806466354223717
4,"""pro-choice""",4.806466354223717
5,"child""",4.806466354223717
6,"""unborn",4.806466354223717
7,prenatal,4.806466354223717
8,stopthebans,4.806466354223717
9,"female""",4.806466354223717
10,abortions,4.729210686784194
11,fetus,4.141129257338802
12,"abortion""",4.092668107270274
13,"""pro-life""",3.670915885294075
14,complications,3.670915885294075
15,abortion,3.2962197744231427
16,pregnant,3.1322766659989787
17,maternal,3.1322766659989787
18,infant,3.1314657959961463
19,pregnancy,3.0087744201119317
20,reproductive,2.9589634682698294
21,interfere,2.624283786490851
22,viewpoint,2.493921030881052
23,hospitals,2.4010795123201256
24,implies,2.0728954446510137
25,aged,2.0476589113779204
26,wade,2.013528258974842
27,getting,1.98035682109978
28,hawaii,1.9720014316239014
29,mortality,1.8996241134635932
30,medicaid,1.8249627433276432
31,performed,1.8249627433276432
32,seeking,1.6645042764006748
33,women,1.320216426133516
34,woman,3.465001887738748e-05
35,rates,3.222856554490394e-05
36,medical,2.8287926773575497e-05
37,required,2.442844207519124e-05
38,rural,2.436292829054735e-05
39,health,2.3856848824177362e-05
40,fewer,2.2927387202514778e-05
41,legal,2.2566343279285416e-05
42,travel,2.2203528494173965e-05
43,access,2.0135014518269487e-05
44,cost,2.0029497765819872e-05
45,protect,1.6980785849722393e-05
46,hospital,1.6539509518253915e-05
47,births,1.5962360707806306e-05
48,participated,1.5962360707806306e-05
49,obtain,1.5962360707806306e-05
