,word,relevance_score
0,menstrual,6.367244721790655
1,clinic,5.480378864199152
2,clinics,5.24442469326631
3,"""pro-choice""",5.18646767198719
4,"""unborn",5.18646767198719
5,ibis,5.18646767198719
6,"child""",5.18646767198719
7,pads,5.18646767198719
8,tampons,5.18646767198719
9,induced,5.133810061028025
10,incest,4.933717558648666
11,abortions,4.741675657284707
12,fetus,4.521545969634419
13,"abortion""",4.475979310314048
14,"""pro-life""",4.0572358049004285
15,hygiene,4.0572358049004285
16,pregnancy,3.9615321080139636
17,idaho,3.5782283201486327
18,maternal,3.524555556159107
19,infant,3.517430543650392
20,reproductive,3.343420344171898
21,trigger,3.1689938132478646
22,abortion,3.168548025070449
23,dobbs,3.0264115688465716
24,aged,2.9002767831274374
25,viewpoint,2.899756843716365
26,wade,2.8678293983449534
27,zero,2.7856275375299573
28,implies,2.497015322570359
29,mortality,2.3360231781715917
30,births,2.19869536181948
31,lowest,2.1867527865151604
32,informed,2.160361314115369
33,anti-abortion,2.125490559025763
34,rape,2.017899029810543
35,dakota,1.7435878579627018
36,mother,1.7170096292308505
37,fewer,1.561312660167104
38,women,1.485574684706346
39,woman,1.3899280073886187
40,health,4.14623188445168e-05
41,rates,4.097895645051154e-05
42,live,2.96799940662033e-05
43,legal,2.7508683823002778e-05
44,consent,2.217043664110502e-05
45,medical,2.1971400717339302e-05
46,terms,1.9019532989835943e-05
47,ratio,1.753002134025285e-05
48,detailed,1.743105295562454e-05
49,supplies,1.7233080421746335e-05
