,word,relevance_score
0,menstrual,5.7183423467161045
1,clinics,5.630100054184957
2,clinic,5.371206860651298
3,abortions,5.022615098169067
4,schlafly,4.812524935257786
5,"child""",4.721569445971838
6,stopthebans,4.721569445971838
7,"""unborn",4.721569445971838
8,"""pro-choice""",4.721569445971838
9,tampons,4.721569445971838
10,pads,4.721569445971838
11,guttmacher,4.721569445971838
12,ibis,4.721569445971838
13,pro-life,4.470540555913199
14,therapeutic,4.470540555913199
15,eagle,4.11482649336818
16,fetus,4.056764029762639
17,pritzker,4.056764029762639
18,"abortion""",4.006844749937669
19,phyllis,3.7619889660946852
20,hygiene,3.584228122621441
21,"""pro-life""",3.584228122621441
22,viability,3.584228122621441
23,abortionthe,3.584228122621441
24,abortion,3.5155726264975944
25,reproductive,3.4844293916481828
26,counseling,3.045509436030096
27,infant,3.045509436030096
28,pro-choice,3.045509436030096
29,parental,3.045509436030096
30,maternal,3.043812990057419
31,offense,2.9224915837206016
32,pregnancy,2.9224915837206016
33,newsletter,2.9224915837206016
34,bans,2.812011597216489
35,forum,2.783829177057508
36,trigger,2.6798700214527664
37,illinois,2.6214031206445045
38,facility,2.4010815975570288
39,viewpoint,2.4010815975570288
40,wade,2.398791914710899
41,mortality,2.381688321665819
42,anti-abortion,2.1843797883772273
43,penalties,2.1716410885439763
44,doctor,2.1716410885439763
45,parenthood,2.1716410885439763
46,notice,2.125222430944591
47,viable,2.0693854347906346
48,guardian,2.0693854347906346
49,physicians,2.068772151470928
