,word,relevance_score
0,tiller,6.247428855889462
1,clinic,5.917349259273274
2,clinics,5.551337544034238
3,fetal,5.357605219274911
4,kansans,5.357605219274911
5,"""pro-choice""",4.907083082831635
6,"child""",4.907083082831635
7,shelly,4.907083082831635
8,"""unborn",4.907083082831635
9,second-trimester,4.907083082831635
10,roeder,4.907083082831635
11,burkhart,4.907083082831635
12,ibis,4.907083082831635
13,third-trimester,4.907083082831635
14,abortion-specific,4.907083082831635
15,gietzen,4.907083082831635
16,trap,4.907083082831635
17,abortions,4.661079883766068
18,"abortion""",4.654330440245559
19,pro-life,4.194284617434202
20,heartbeat,4.194284617434202
21,incest,4.194284617434202
22,dilation,4.194284617434202
23,pregnancy,4.0372839242802785
24,wichita,4.036783888067818
25,evacuation,3.773453734445655
26,fetus,3.773453734445655
27,"""pro-life""",3.773453734445655
28,abortion,3.772848239578283
29,doctor,3.6718636781986604
30,pain,3.4722864872433905
31,induced,3.4722864872433905
32,maternal,3.2366747165092997
33,kansas,3.217697983204986
34,providers,3.0598705028645248
35,reproductive,3.0598705028645248
36,parenthood,2.9015433732592975
37,shannon,2.8767758370504923
38,infant,2.7318601859060228
39,affirm,2.7318601859060228
40,viewpoint,2.6027280552916547
41,value,2.525799115989945
42,bans,2.485950751591926
43,restrictive,2.485950751591926
44,zero,2.485950751591926
45,aged,2.413018890939393
46,anti-abortion,2.3799509292246266
47,situations,2.3217512671633345
48,implies,2.188054435160275
49,proposition,2.188054435160275
