,word,relevance_score
0,clinic,5.656512553591517
1,clinics,5.496967519443023
2,dunahoe,5.014166963566169
3,abortion-related,5.014166963566169
4,abortions,4.321631327691339
5,unborn,3.8823911587617075
6,plaintiffs,3.582090795908868
7,acid,3.582090795908868
8,trigger,3.4797354284471096
9,abortion,3.4535319674711196
10,hughes,3.2197700578740776
11,providers,3.1676128854921966
12,zero,3.110306701950161
13,bans,3.110306701950161
14,doctor,3.010999162597003
15,seekers,2.989334572476256
16,aged,2.723720398435593
17,physician,2.71739397815104
18,petitioned,2.71739397815104
19,parenthood,2.4961787433977825
20,wade,2.488734787532058
21,liability,2.398742052312482
22,performed,2.052556871099134
23,damage,2.052556871099134
24,reversed,1.9352070584959733
25,anti-abortion,1.9245239153612963
26,stay,1.759760706422385
27,privileges,1.6950723844060405
28,woman,1.6192891089891805
29,louisiana,1.6045622949689955
30,passed,1.3927993457766268
31,felt,1.3472366347397662
32,fifth,1.3282990512798913
33,women,0.8830680214854348
34,illegal,3.33435868629069e-05
35,texas,2.929819219966433e-05
36,circuit,2.3941990289893792e-05
37,services,2.1561448695808277e-05
38,medical,2.0363816339702025e-05
39,effect,2.0130846679211932e-05
40,whole,1.9530999842531683e-05
41,attacks,1.643756353833085e-05
42,pending,1.6431191100987894e-05
43,poll,1.5013430588921466e-05
44,offered,1.5003639299632779e-05
45,mother,1.4884675654555945e-05
46,protecting,1.4765711844077853e-05
47,challenged,1.4527783716879628e-05
48,planned,1.4527783716879628e-05
49,banned,1.3457098297926104e-05
