,word,relevance_score
0,menstrual,6.064171018162622
1,abortion-related,5.3317816186397256
2,"abortion""",4.940138943321202
3,tampons,4.8801746735291385
4,pads,4.8801746735291385
5,"abortions""",4.8801746735291385
6,ibis,4.8801746735291385
7,"""pro-choice""",4.8801746735291385
8,"child""",4.8801746735291385
9,"""unborn",4.8801746735291385
10,"""joint",4.8801746735291385
11,clinic,4.628374348797202
12,procuring,4.628374348797202
13,clinics,4.628374348797202
14,abortions,4.576060610913929
15,concealment,4.215214712945609
16,fetus,4.215214712945609
17,therapeutic,4.167066912185156
18,pregnancy,4.0130746365629335
19,"""pro-life""",3.7459553713793476
20,hygiene,3.7459553713793476
21,maternal,3.2086177097511057
22,infant,3.2067744529157363
23,reproductive,3.0340511492157036
24,termination,3.014121670768527
25,bans,2.9744397897820773
26,abortion,2.711063742476254
27,viewpoint,2.573371460382894
28,aged,2.3873601989852196
29,relating,2.3543173348349145
30,viable,2.249580171638264
31,implies,2.1568611040208516
32,mortality,1.986844119219319
33,wade,1.712241453849417
34,deaths,1.294292130216292
35,passed,0.9463448108813076
36,women,0.8906505138968556
37,rates,3.415320355256528e-05
38,medical,2.9011818505101052e-05
39,birth,2.6974799254567508e-05
40,woman,2.5618695228437988e-05
41,fewer,2.3363625794790445e-05
42,pass,1.9555594358929066e-05
43,health,1.778780553759839e-05
44,ruling,1.6839245583269204e-05
45,performed,1.6352701148496483e-05
46,perform,1.6352701148496483e-05
47,supplies,1.6217026376351885e-05
48,maine,1.4941447117309751e-05
49,assist,1.4723202017525143e-05
