,word,relevance_score
0,clinics,6.387777799362832
1,clinic,6.096168220203177
2,cpcs,5.891974289667263
3,fetal,5.349833286776228
4,abortions,5.260527665201446
5,viability,4.9764691978252955
6,"""unborn",4.898858605357507
7,"child""",4.898858605357507
8,closures,4.898858605357507
9,"""pro-choice""",4.898858605357507
10,unsafe,4.898858605357507
11,contraceptive,4.898858605357507
12,notification,4.6226966384063894
13,pregnancy,4.400400813518091
14,deterrent,4.255919455171302
15,therapeutic,4.185963479281629
16,unplanned,4.185963479281629
17,"abortion""",4.185963479281629
18,would've,4.185963479281629
19,parental,3.9869717167279553
20,contraception,3.923834572477661
21,"""pro-life""",3.7650454550111143
22,pregnant,3.7103890766061056
23,minors,3.550218397673463
24,patients,3.5139360574860317
25,providers,3.495282940318494
26,enshrine,3.4637927359497596
27,disclose,3.4637927359497596
28,abortion,3.4277030004424445
29,safe,3.4127971072078074
30,seasonal,3.22809391356547
31,provider,3.22809391356547
32,barrier,3.2223973581004914
33,doors,3.0338016339571148
34,bans,2.993101910291636
35,closing,2.9757757548187542
36,patient,2.7749108837777174
37,reproductive,2.7178418662012325
38,maryland,2.6968607119169183
39,offer,2.6823434891312883
40,viewpoint,2.5937474610268096
41,zero,2.4768493010459234
42,barriers,2.459763485343782
43,anti-abortion,2.371577519759192
44,parenthood,2.3698317518581518
45,guardian,2.270856540631108
46,introduce,2.204833013019201
47,parent,2.204833013019201
48,reynolds,2.204833013019201
49,implies,2.1785064282689124
