,word,relevance_score
0,clinics,5.605179222618182
1,clinic,5.01952836260224
2,"""unborn",4.962029894544364
3,"""pro-choice""",4.962029894544364
4,salvi,4.962029894544364
5,brookline,4.962029894544364
6,ibis,4.962029894544364
7,"child""",4.962029894544364
8,abortions,4.653379587615564
9,"abortion""",4.2497568435665
10,prescribe,4.2497568435665
11,killea,4.2497568435665
12,buffer,4.2497568435665
13,minors,4.2101645175842775
14,parental,3.854514592331222
15,fetus,3.8294040086996755
16,baird,3.8294040086996755
17,"""pro-life""",3.8294040086996755
18,confessed,3.8294040086996755
19,-foot,3.8294040086996755
20,pregnancy,3.4921712381460424
21,maternal,3.293574177011549
22,pregnant,3.293574177011549
23,infant,3.28888113404571
24,anti-abortion,3.226364229001038
25,reproductive,3.115024880738362
26,abortion,3.1142658800190928
27,viewpoint,2.661801294846754
28,mortality,2.6314866184253205
29,performed,2.3554406673804227
30,implies,2.2500896185439907
31,week,1.9916110865970975
32,medical,1.8491297142003436
33,aged,1.8405123511395
34,consent,1.6967209282141498
35,seeking,1.6052714352901871
36,massachusetts,1.5084417362540936
37,funded,1.480618683250248
38,kerry,1.3926605257961346
39,fewer,1.277860692727361
40,woman,1.1273943117598064
41,women,6.965922622227201e-05
42,rates,3.601133513525417e-05
43,ability,2.5800524856780084e-05
44,physical,2.3587533070218924e-05
45,activities,2.3415464642082326e-05
46,deaths,2.1828441692392414e-05
47,health,2.168453876081611e-05
48,harvard,2.1577186051860957e-05
49,legal,1.920583857624945e-05
