,word,relevance_score
0,clinic,5.458614979997383
1,clinics,5.458614979997383
2,stupak,5.423775968175514
3,abortions,5.117368955208433
4,ibis,4.973353576348654
5,"""unborn",4.973353576348654
6,"child""",4.973353576348654
7,"""pro-choice""",4.973353576348654
8,fetal,4.973353576348654
9,mcmenemy,4.973353576348654
10,edgerton,4.973353576348654
11,fetus,4.3079161117876525
12,dilation,4.261093413661271
13,"abortion""",4.261093413661271
14,pregnancy,4.104641068592127
15,indictments,3.840753647042039
16,"""pro-life""",3.840753647042039
17,evacuation,3.840753647042039
18,anti-abortion,3.667962321123069
19,reproductive,3.373662953372957
20,maternal,3.3049504043062936
21,pregnant,3.3049504043062936
22,parental,3.300910077355136
23,infant,3.300910077355136
24,abortion,3.1244802399512692
25,aged,2.684433474821089
26,viewpoint,2.6732313838022828
27,mortality,2.643617821986626
28,bans,2.557111479700113
29,zero,2.557111479700113
30,parenthood,2.45094040965216
31,performed,2.368002555127655
32,implies,2.2615662911850265
33,providers,2.2615662911850265
34,convictions,1.9441348251957422
35,informed,1.9283707481371508
36,michigan,1.8972179489552978
37,funded,1.895896272518097
38,consent,1.710028395061257
39,medical,1.683280794605315
40,deaths,1.403070383498043
41,woman,1.1408873711214809
42,women,1.1107333159036357
43,rates,3.624707487032433e-05
44,fewer,2.407530352411838e-05
45,illegal,2.2530912770614686e-05
46,legal,1.938245950157067e-05
47,views,1.8088308595631433e-05
48,attempting,1.7281637749063113e-05
49,request,1.716045925198532e-05
