,word,relevance_score
0,clinic,5.58639536529743
1,hodgson,5.000114661883265
2,clinics,5.000114661883265
3,abortion-related,4.94111633836999
4,bovard,4.94111633836999
5,derosia,4.94111633836999
6,two-parent,4.94111633836999
7,accomplice,4.94111633836999
8,abortions,4.497781415272901
9,fetus,4.275831358212775
10,bypass,4.126855899855459
11,"""mostly",3.8080335899857003
12,parental,3.5928366819078454
13,pain,3.5071283203246626
14,"bill""",3.271785995052219
15,offense,3.1460941873177983
16,abortion,3.0914784991099777
17,jane,2.683383151917266
18,minnesota,2.643796390749687
19,o'connor,2.5418239138757164
20,holdings,2.522685792176423
21,aged,2.1886245575578647
22,convictions,1.9069107967671803
23,informed,1.8932427663081999
24,fourteen,1.8353688444743805
25,anti-abortion,1.8353688444743805
26,notice,1.7659650916355585
27,minneapolis,1.7659650916355585
28,stevens,1.630990801942444
29,requirement,1.546975409341227
30,funded,1.4548905133182846
31,consent,1.4491980157803226
32,women,6.841628064596937e-05
33,criminal,3.263990431445402e-05
34,activities,2.314777638548931e-05
35,said,2.1383838728376432e-05
36,legislature,2.1178476816862296e-05
37,seeking,2.1020655409044018e-05
38,pass,2.013024792658892e-05
39,damage,1.6514885900377797e-05
40,wade,1.587311264012899e-05
41,judicial,1.5797284519943624e-05
42,rule,1.50093567212122e-05
43,deemed,1.484817031646596e-05
44,told,1.4592268853963932e-05
45,twenty,1.3697563082586437e-05
46,nationwide,1.34421858230313e-05
47,weeks,1.3314536656729526e-05
48,stating,1.3314536656729526e-05
49,procedure,1.254916138665862e-05
