,word,relevance_score
0,clinic,5.952739258133433
1,menstrual,5.747618218103665
2,clinics,5.240324698861685
3,fetal,5.204230319175021
4,abortions,4.771448721490715
5,irreparable,4.751606636880395
6,"""pro-choice""",4.751606636880395
7,"child""",4.751606636880395
8,"""unborn",4.751606636880395
9,pads,4.751606636880395
10,tampons,4.751606636880395
11,ambulatory,4.751606636880395
12,heartbeat,4.500249949407143
13,"abortion""",4.037231144844999
14,injunction,4.037231144844999
15,parenthood,3.9454850382793625
16,reproductive,3.6542211630773944
17,hygiene,3.6149426296071323
18,"""pro-life""",3.6149426296071323
19,surgical,3.6149426296071323
20,trimester,3.312321018489511
21,pregnancy,3.2825708580271042
22,infant,3.075921532115746
23,restraining,3.0752080861289808
24,maternal,3.0752080861289808
25,abortion,3.074654617398934
26,zero,2.842666650347211
27,licensed,2.650581452859244
28,parental,2.5653044671976453
29,missouri,2.4568846276693117
30,viewpoint,2.43418813318434
31,planned,2.371075086369795
32,talking,2.3152295421449063
33,bans,2.3152295421449063
34,aged,2.255851970468787
35,medicaid,2.1384813233509385
36,mothers,2.0091385786575926
37,implies,2.0091385786575926
38,hospital,1.8980322817931201
39,disability,1.8518036178407882
40,mortality,1.8328255328652348
41,performed,1.7636472881311862
42,weeks,1.7064787703528612
43,anti-abortion,1.5882972547912522
44,admitting,1.5882972547912522
45,wade,1.5628327270192954
46,temporary,1.3803703104153664
47,women,1.2244474572489215
48,tried,1.1329968867938303
49,health,0.9239181751561953
