,word,relevance_score
0,menstrual,5.958773667884428
1,clinics,5.2617900142659275
2,excommunicated,5.225962169654926
3,"abortion""",4.834319334194644
4,"child""",4.773598048532806
5,bruskewitz,4.773598048532806
6,"""unborn",4.773598048532806
7,"""pro-choice""",4.773598048532806
8,"pregnancy""",4.773598048532806
9,pads,4.773598048532806
10,tampons,4.773598048532806
11,ibis,4.773598048532806
12,clinic,4.522080195568122
13,unborn,4.108512840300209
14,carhart,4.108512840300209
15,stenberg,4.059429110397153
16,hygiene,3.637331818775794
17,"""pro-life""",3.637331818775794
18,abortions,3.6162835292205697
19,induced,3.334901214536604
20,akron,3.334901214536604
21,pregnancy,3.304500048343341
22,reproductive,3.174185602703866
23,infant,3.0982196701906464
24,maternal,3.097985620809238
25,abortion,3.0736449013379135
26,nebraska,2.6698492931876103
27,outlaw,2.588752354635481
28,viewpoint,2.4578980410918887
29,physician,2.4578980410918887
30,ordinance,2.377992319127298
31,parenthood,2.230244842407125
32,girls,2.129068557456361
33,implies,2.0342283272575057
34,hayes,1.9697011314117658
35,suit,1.8589437353344562
36,mortality,1.8589437353344562
37,village,1.776559660652672
38,anti-abortion,1.6176257535157452
39,women,3.552464926269075e-05
40,rates,3.1217004962854756e-05
41,center,2.9683782558600823e-05
42,medical,2.776665934500383e-05
43,woman,2.3984459034460558e-05
44,fewer,2.2612568329751007e-05
45,outlawed,1.669257483362786e-05
46,child,1.6101737194760786e-05
47,participated,1.578739366297926e-05
48,supplies,1.578739366297926e-05
49,informed,1.5636429581018256e-05
