,word,relevance_score
0,menstrual,5.972531233344842
1,clinics,5.0847535032541575
2,clinic,4.848151873155078
3,"""emotional",4.787659594547183
4,"""unborn",4.787659594547183
5,"child""",4.787659594547183
6,ibis,4.787659594547183
7,"""pro-choice""",4.787659594547183
8,pads,4.787659594547183
9,tampons,4.787659594547183
10,"abortion""",4.536055473322234
11,abortions,4.418764681006679
12,incest,4.073652725723415
13,"implications""",4.073652725723415
14,pregnancy,3.758183042315042
15,"""pro-life""",3.6517073348551246
16,hygiene,3.6517073348551246
17,reproductive,3.54925512644958
18,infant,3.4392195337588745
19,pregnant,3.112674641509325
20,maternal,3.112674641509325
21,abortion,2.847333465627562
22,tell,2.7795059323843
23,viewpoint,2.473364495304422
24,nevada,2.3477377705241533
25,doctors,2.195689522717357
26,licensed,2.1453767214957953
27,informed,2.0997163344553624
28,implies,2.0509009702534517
29,mortality,1.8765479231568518
30,revised,1.8472462652076422
31,signs,1.6376559989744826
32,anti-abortion,1.6376559989744826
33,"rights""",1.5594703855163725
34,weeks,1.453064396458713
35,women,1.131558490703664
36,said,6.363964116117856e-05
37,woman,3.4237794543605806e-05
38,rates,3.165840966020071e-05
39,chapter,2.3139620370193787e-05
40,leave,2.3139620370193787e-05
41,fewer,2.2693542611290414e-05
42,legal,2.180056519015932e-05
43,statutes,1.9426065345583965e-05
44,consent,1.8239303445782684e-05
45,medical,1.794271297566544e-05
46,feel,1.6564563531697342e-05
47,allocated,1.6415454668803124e-05
48,supplies,1.5819214310710117e-05
49,birth,1.5719395471389377e-05
