,word,relevance_score
0,clinic,5.481431305528495
1,clinics,5.481431305528495
2,heed,5.286280202960184
3,diclerico,4.834249758357437
4,ibis,4.834249758357437
5,abortion-related,4.834249758357437
6,"child""",4.834249758357437
7,"""pro-choice""",4.834249758357437
8,"""unborn",4.834249758357437
9,notification,4.698333803959064
10,ayotte,4.58267174292501
11,parental,4.554107433652523
12,abortions,4.31813514522725
13,"abortion""",4.120679253061169
14,pregnancy,3.804485380297136
15,"""pro-life""",3.699141157358651
16,parenthood,3.6012153055108707
17,nurse,3.39727318713371
18,reproductive,3.234974466891741
19,maternal,3.160942590197027
20,pregnant,3.160942590197027
21,infant,3.1601171895917832
22,lynch,3.1601171895917832
23,minors,3.1601171895917832
24,abortion,3.133421227110492
25,hampshire,2.954203507511318
26,damaged,2.7994925504248083
27,viewpoint,2.523659803825629
28,concord,2.4994963975665616
29,sixteen,2.405869010212223
30,zero,2.405869010212223
31,bans,2.405869010212223
32,feminist,2.189490907907361
33,planned,2.1364649626467793
34,implies,2.1042267817226756
35,funded,2.021634452835499
36,mortality,1.9321242111163994
37,judgment,1.8988031353930235
38,medicaid,1.8560585993984784
39,anti-abortion,1.6986631650506787
40,medical,1.3014325745944402
41,deaths,1.2378943026933755
42,health,5.5521867333018306e-05
43,judge,3.531914472601468e-05
44,rates,3.305513552016315e-05
45,center,3.263141570890047e-05
46,pass,2.9160281370629577e-05
47,required,2.517792659033734e-05
48,woman,2.5069456025058183e-05
49,passed,2.3846354359503538e-05
