,word,relevance_score
0,clinics,6.231566956195841
1,menstrual,6.1354919110645145
2,brigham,5.248437316039832
3,abortions,5.057556164906393
4,clinic,5.012568101685517
5,tampons,4.954812571067958
6,mackenzie,4.954812571067958
7,"child""",4.954812571067958
8,"""pro-choice""",4.954812571067958
9,ibis,4.954812571067958
10,pads,4.954812571067958
11,"""unborn",4.954812571067958
12,pro-life,4.242466124813473
13,"abortion""",4.242466124813473
14,therapeutic,4.242466124813473
15,parental,4.203332121967462
16,infants,3.822047146423255
17,hygiene,3.822047146423255
18,christie,3.822047146423255
19,"""pro-life""",3.822047146423255
20,phil,3.766211647655832
21,pregnancy,3.4851248176542255
22,reproductive,3.353934566295815
23,maternal,3.2860872863531068
24,monmouth,3.2860872863531068
25,minors,3.281675990672205
26,infant,3.281675990672205
27,abortion,3.1938726665266994
28,parenthood,2.950354595336474
29,aged,2.6643492876773185
30,license,2.6623253644471774
31,viewpoint,2.6540214070375874
32,mortality,2.6241115295092237
33,bans,2.537802729526306
34,hospital,2.4719440949324762
35,performed,2.348176443590658
36,implies,2.241918850302146
37,revoked,2.241918850302146
38,waiting,2.156076571504326
39,jersey,2.155373945600927
40,consent,2.1462929427566095
41,medical,1.9916851871229284
42,medicaid,1.9881791974832705
43,murphy,1.9881791974832705
44,obtain,1.9475480034478647
45,steven,1.7261731626294317
46,woman,1.7116378486500636
47,minor,1.506760952618456
48,going,1.4759849413601516
49,funded,1.4718258954654326
