,word,relevance_score
0,menstrual,6.158679978579904
1,clinics,5.461962997757188
2,clinic,5.271489472659984
3,tampons,4.9771716001651765
4,"""unborn",4.9771716001651765
5,"child""",4.9771716001651765
6,ibis,4.9771716001651765
7,"""pro-choice""",4.9771716001651765
8,pads,4.9771716001651765
9,baca,4.9771716001651765
10,abortions,4.457928225735959
11,"abortion""",4.26499233905718
12,"""pro-life""",3.8447270077144493
13,hygiene,3.8447270077144493
14,pregnancy,3.751213053569638
15,reproductive,3.377192702389834
16,maternal,3.3090740153137697
17,infant,3.3046850422822738
18,parenthood,2.973538858897131
19,abortion,2.9614465201383875
20,viewpoint,2.6777104874552524
21,aged,2.485132796163682
22,implies,2.2665505922551006
23,mortality,2.100196239910514
24,funded,1.4988617908063384
25,mexico,1.4770469847140946
26,medical,1.4605809477336353
27,woman,1.3945034262326739
28,planned,1.3828534471967706
29,fewer,1.2978355299077298
30,women,0.9205057050477847
31,rates,3.643029839959731e-05
32,deaths,2.196261183873281e-05
33,georgia,1.9049261148975908e-05
34,performed,1.6623204294734084e-05
35,medicaid,1.6623204294734084e-05
36,supplies,1.6499555397785382e-05
37,repeal,1.6129072878173918e-05
38,offered,1.4775763314232248e-05
39,light,1.4285276407913305e-05
40,leave,1.4285276407913305e-05
41,faced,1.3917857100874507e-05
42,alternative,1.3428465200716156e-05
43,access,1.3141552424444625e-05
44,health,1.2582160109364993e-05
45,terms,1.1638520561554253e-05
46,higher,1.0306787568440264e-05
47,"""anti-life""",9.873339882208847e-06
48,altman,9.873339882208847e-06
49,thirteenof,9.873339882208847e-06
