,word,relevance_score
0,clinics,6.051188798477987
1,clinic,5.894599802756232
2,ultrasound,5.68991863355002
3,osteen,5.1469809000806706
4,freestanding,5.1469809000806706
5,out-of-state,5.1469809000806706
6,abortions,4.9202126217329525
7,trap,4.694086488374315
8,abortion-providing,4.694086488374315
9,youknowme,4.694086488374315
10,stopthebans,4.694086488374315
11,"""unborn",4.694086488374315
12,"""pro-choice""",4.694086488374315
13,ibis,4.694086488374315
14,"child""",4.694086488374315
15,telemedicine,4.694086488374315
16,tiktok,4.694086488374315
17,therapeutic,4.442743930047059
18,medication,4.442743930047059
19,state-directed,3.97908536944077
20,"abortion""",3.97908536944077
21,greensboro,3.97908536944077
22,wendy,3.8809951271202108
23,reproductive,3.595828171757104
24,abortion,3.59249186756672
25,"""pro-life""",3.556205886117457
26,-week,3.556205886117457
27,viability,3.556205886117457
28,pregnancy,3.4690398868169305
29,akron,3.252983711895531
30,arson,3.252983711895531
31,induced,3.252983711895531
32,counseling,3.0171377934808676
33,infant,3.0171377934808676
34,maternal,3.015240149459229
35,performed,2.9802038272386704
36,patient,2.818793955585982
37,defender,2.818782577826754
38,anti-abortion,2.506578584994259
39,parental,2.5031214529174153
40,jennifer,2.426588074543339
41,aged,2.4022277212207443
42,facility,2.3711096035451775
43,viewpoint,2.3711096035451775
44,physician,2.3711096035451775
45,patients,2.352523778560121
46,mortality,2.352523778560121
47,charlotte,2.3447069454617613
48,bans,2.251145606157669
49,facilities,2.2114575254029294
