,word,relevance_score
0,"""unborn",4.828297060027036
1,"child""",4.828297060027036
2,"""pro-choice""",4.828297060027036
3,"abortion""",4.114575871191398
4,incest,4.114575871191398
5,"""pro-life""",3.6929065428275827
6,pregnancy,3.6053311231220864
7,marianas,3.154457082986111
8,abortions,2.731035876747538
9,viewpoint,2.516623998549233
10,abortion,2.1762218966137636
11,implies,2.096465884107348
12,commonwealth,1.9077006949127724
13,woman,0.9600235865956022
14,legal,3.390948421466283e-05
15,illegal,2.0003133953221302e-05
16,prosecution,1.6269749120790803e-05
17,options,1.553732146257456e-05
18,mariana,1.5518966155279966e-05
19,rape,1.524515291644306e-05
20,mother,1.3793068310636939e-05
21,light,1.3360640464640033e-05
22,philippines,1.2786203749130319e-05
23,trust,1.2499764619833793e-05
24,alternative,1.2356707399348727e-05
25,unless,1.0787263773443472e-05
26,code,1.0644756156929392e-05
27,statute,1.0217237067652624e-05
28,"baby""",9.885914886032927e-06
29,carves,9.885914886032927e-06
30,solicits,9.885914886032927e-06
31,heldas,9.885914886032927e-06
32,tarkong,9.885914886032927e-06
33,marianas',9.885914886032927e-06
34,"""embryo""",9.885914886032927e-06
35,tenorio,9.885914886032927e-06
36,"""anti-abortion""",9.885914886032927e-06
37,"""abortion",9.885914886032927e-06
38,"""pro-death""",9.885914886032927e-06
39,"""anti-choice""",9.885914886032927e-06
40,"""fetus""",9.885914886032927e-06
41,"""induced",9.885914886032927e-06
42,"""elective",9.885914886032927e-06
43,reasonsanti-abortion,9.885914886032927e-06
44,"""zygote""",9.885914886032927e-06
45,miscarriage,9.885914886032927e-06
46,"""pre-born",9.885914886032927e-06
47,"""anti-life""",9.885914886032927e-06
48,statesevery,9.763560883918233e-06
49,purposely,9.763560883918233e-06
