,word,relevance_score
0,menstrual,5.97602845060553
1,fetal,5.786379228880284
2,heartbeat,5.279072806336786
3,clinics,5.279072806336786
4,clinic,4.85170768096751
5,tampons,4.791279389240025
6,fallin,4.791279389240025
7,pads,4.791279389240025
8,"child""",4.791279389240025
9,"""pro-choice""",4.791279389240025
10,ibis,4.791279389240025
11,sensors,4.791279389240025
12,"""unborn",4.791279389240025
13,conceptus,4.791279389240025
14,stitt,4.539627457818526
15,fetus,4.441182751343593
16,pain,4.388568233629938
17,abortions,4.275840511811337
18,"""pro-life""",4.12613552767166
19,pregnancies,4.077304684839733
20,incest,4.077304684839733
21,"abortion""",4.077304684839733
22,pregnancy,3.9244401428386935
23,hygiene,3.655388441142886
24,pregnant,3.6023555639003892
25,induced,3.353139763395368
26,abortion,3.302858988927843
27,reproductive,3.1917573963737236
28,providers,3.1917573963737236
29,maternal,3.1164131793174987
30,infant,3.1161861085827245
31,oklahoma,2.84958977103459
32,aged,2.5011793361033874
33,viewpoint,2.477230840787641
34,mortality,2.4544321828916957
35,restrictive,2.3588443801725743
36,weeks,2.1381913986377556
37,informed,2.1034154720484515
38,implies,2.0549265649013795
39,kevin,1.9890573581931157
40,elective,1.9656960911543604
41,materials,1.964526661459934
42,woman,1.8989491661497517
43,offering,1.8806658123292745
44,medical,1.8270250429945811
45,rape,1.5721939544705315
46,pass,1.5458927947172918
47,tried,1.1837541233783686
48,women,1.0353222786252403
49,bill,7.392346965382774e-05
