,word,relevance_score
0,menstrual,6.024482860860056
1,clinic,5.487358556341709
2,clinics,5.137038784074607
3,ibis,4.841774590421706
4,"""pro-choice""",4.841774590421706
5,"child""",4.841774590421706
6,"""unborn",4.841774590421706
7,abortions,4.3988149303987525
8,"abortion""",4.128371712964166
9,"""pro-life""",3.7069843821138813
10,pregnancy,3.615708299006115
11,arson,3.405264359707209
12,nurse,3.405264359707209
13,reproductive,3.2411670611083006
14,maternal,3.1690847261736645
15,infant,3.1670014468988663
16,abortion,2.895629464855564
17,aged,2.5508262193143083
18,viewpoint,2.532501462440377
19,physician,2.532501462440377
20,parenthood,2.3071607922488497
21,sixty,2.3071607922488497
22,implies,2.1140840505754013
23,forty,2.1140840505754013
24,oregon,2.0925043907110767
25,mortality,1.9427238976386514
26,anti-abortion,1.7110493377009643
27,funded,1.3290167951910141
28,medical,1.3088817797366652
29,woman,0.9753549253093523
30,women,0.8462309410723902
31,health,4.5478536480401025e-05
32,rates,3.325406320378412e-05
33,legal,2.436200851394167e-05
34,fewer,2.298455340098797e-05
35,deaths,2.0633561793215467e-05
36,model,2.04895873737064e-05
37,fifteen,1.689611651423629e-05
38,attempting,1.689611651423629e-05
39,medicaid,1.6300837396776232e-05
40,supplies,1.6150965302242795e-05
41,light,1.343416867009465e-05
42,leave,1.343416867009465e-05
43,planned,1.343416867009465e-05
44,physical,1.2686237521119455e-05
45,alternative,1.2389011459679693e-05
46,procedure,1.1651537944683034e-05
47,risk,1.150505940767729e-05
48,access,1.0808700196516887e-05
49,mental,1.0202816917726358e-05
