,word,relevance_score
0,menstrual,5.797311948000475
1,viability,5.220169031743455
2,clinics,5.100095294660558
3,fetus,4.8524219240772615
4,undue,4.701425538278524
5,trimester,4.701425538278524
6,gosnell,4.608145223657678
7,"""unborn",4.608145223657678
8,"child""",4.608145223657678
9,tampons,4.608145223657678
10,pads,4.608145223657678
11,fetal,4.608145223657678
12,"""pro-choice""",4.608145223657678
13,stopthebans,4.608145223657678
14,ibis,4.608145223657678
15,clinic,4.358212369759234
16,obstacle,3.9826907229170248
17,akron,3.9684269333089666
18,"abortion""",3.8921019393798897
19,pregnancies,3.8921019393798897
20,abortions,3.717348789515076
21,plurality,3.5326509995692468
22,"""pro-life""",3.4682372113850604
23,hygiene,3.4682372113850604
24,spousal,3.397373089596734
25,pregnancy,3.3854839100568483
26,reproductive,3.3726355190728325
27,burden,3.027931596282112
28,abortion,2.9564951043009096
29,parenthood,2.9326309542360813
30,infant,2.930376891926451
31,maternal,2.925206533671703
32,notification,2.925206533671703
33,husbands,2.925206533671703
34,anti-abortion,2.8762839909006614
35,casey,2.6754317469411166
36,viable,2.5024924644432573
37,path,2.4200590938599795
38,clarified,2.4093049649886735
39,counseling,2.4093049649886735
40,framework,2.3349959843319734
41,souter,2.275732323337132
42,viewpoint,2.275732323337132
43,mortality,2.262742542502431
44,o'connor,2.1925926441546393
45,bans,2.1539906663241233
46,upholding,2.1262901092410957
47,sandra,1.936225726246649
48,implies,1.8365430225765518
49,placing,1.8365430225765518
