,word,relevance_score
0,duarte,5.650259872770406
1,clinics,5.537029783514548
2,prenatal,5.342191238853463
3,clinic,5.186808265504633
4,abortions,4.994904548889575
5,malthusian,4.890608840501601
6,us-initiated,4.890608840501601
7,fetal,4.890608840501601
8,zika,4.890608840501601
9,ibis,4.890608840501601
10,salud,4.890608840501601
11,venegas,4.890608840501601
12,trimester,4.840040920086004
13,"abortion""",4.177571742670696
14,eugenic,4.177571742670696
15,pregnancies,4.177571742670696
16,defects,3.931497512548012
17,revolved,3.756526110623506
18,mendoza,3.756526110623506
19,pablo,3.756526110623506
20,abortion,3.540404093270764
21,reproductive,3.487935539546552
22,pregnancy,3.422175605596156
23,pregnant,3.219322943304692
24,maternal,3.219322943304692
25,minors,3.2173371394187718
26,parental,3.2173371394187718
27,masse,3.024899014782846
28,anti-abortion,2.9586626605654662
29,doctor,2.8853231635853516
30,revisions,2.858967189331241
31,wade,2.736767059147508
32,infant,2.7138010710491343
33,teen,2.7138010710491343
34,rico,2.4504728924734334
35,puerto,2.385927284527748
36,penal,2.360120515854714
37,rican,2.28296983213981
38,maria,2.260935732113015
39,informed,2.2072218207860583
40,dozen,2.081236773551746
41,offering,1.9986607206056388
42,mortality,1.9986607206056388
43,consequence,1.9986607206056388
44,reliable,1.9198328591879126
45,performed,1.9180868319574895
46,obtain,1.8770054200193156
47,mainland,1.8612249916652366
48,performing,1.7706632030589915
49,sentence,1.760497181816335
