,word,relevance_score
0,clinic,5.5042558722827755
1,clinics,4.7422201693172115
2,abortions,4.12446837417466
3,parenthood,3.4553013748535975
4,reproductive,3.2825613174989767
5,abortion,3.2332934952739243
6,pregnancy,3.177550628499531
7,bans,3.0652126562654303
8,providers,2.782499148351901
9,rhode,2.558013356147289
10,privacy,2.5564458967863954
11,casey,2.4234113389321084
12,codified,2.3041937302635973
13,framework,2.0441749858647786
14,planned,1.9359736964971657
15,aged,1.7772484772619033
16,deaths,1.5328041109062966
17,island,1.2373277175820494
18,legal,3.48641632402358e-05
19,wade,1.7762095374834638e-05
20,motion,1.6303673307968756e-05
21,weeks,1.599544051472301e-05
22,provision,1.5533028029211383e-05
23,restrictions,1.345119840865588e-05
24,plaintiffs',9.923037442891726e-06
25,premised,9.923037442891726e-06
26,iton,9.923037442891726e-06
27,non-viable,9.923037442891726e-06
28,"fetus""",9.923037442891726e-06
29,trap,9.923037442891726e-06
30,clinicsas,9.923037442891726e-06
31,stopthebans,9.923037442891726e-06
32,medication,9.84607315711753e-06
33,citizensthe,9.84607315711753e-06
34,therapeutic,9.84607315711753e-06
35,fetus,9.769107134414691e-06
36,decriminalized,9.769107134414691e-06
37,raimondo,9.769107134414691e-06
38,induced,9.692139366243326e-06
39,alleges,9.692139366243326e-06
40,undue,9.692139366243326e-06
41,obstacle,9.615169844550898e-06
42,customary,9.615169844550898e-06
43,enforceable,9.615169844550898e-06
44,unintended,9.538198560884266e-06
45,answered,9.461225507228003e-06
46,infant,9.384250675259066e-06
47,marches,9.307274056899952e-06
48,footnotes,9.23029564404717e-06
49,doctor,9.153315428670254e-06
