,word,relevance_score
0,menstrual,6.193709037576743
1,clinics,5.337861211282917
2,"""fetal",5.303030707558222
3,out-of-state,5.303030707558222
4,ultrasound,5.303030707558222
5,clinic,5.1473604018885455
6,ibis,4.8515813944796475
7,pads,4.8515813944796475
8,"""pro-choice""",4.8515813944796475
9,"child""",4.8515813944796475
10,"""unborn",4.8515813944796475
11,woman’s,4.8515813944796475
12,tampons,4.8515813944796475
13,fetal,4.8515813944796475
14,"heartbeat""",4.8515813944796475
15,abortions,4.8201530533353045
16,"abortion""",4.599500833664624
17,heartbeat,4.599500833664624
18,pro-life,4.138213816386591
19,induced,3.891938825861101
20,unborn,3.7168612487008126
21,"""pro-life""",3.7168612487008126
22,hygiene,3.7168612487008126
23,maternal,3.662872151789246
24,pregnancy,3.3823479299032555
25,pregnant,3.1790351550301246
26,infant,3.177314026519581
27,searches,3.177314026519581
28,charleston,3.177314026519581
29,reproductive,3.0044598631198554
30,nikki,2.9842788275487604
31,abortion,2.972292010712426
32,haley,2.8179932047569944
33,embryonic,2.8179932047569944
34,carolinian,2.8179932047569944
35,colleagues,2.6724467767768725
36,aged,2.561269094530366
37,viewpoint,2.5426322907385503
38,mortality,2.5171546569069765
39,performed,2.5006798168605355
40,bans,2.4251106952411234
41,anti-abortion,2.321743705538855
42,parenthood,2.317407726534559
43,implies,2.124473304325188
44,carolina,1.8517120009704788
45,women,1.4375928089243737
46,floor,1.3407258982776051
47,funded,1.3407258982776051
48,medical,1.3201226612214598
49,woman,1.2558326366595807
