,word,relevance_score
0,clinic,6.14176098998517
1,"""unborn",5.3140431128086325
2,unruh,4.862779817282273
3,leslee,4.862779817282273
4,alphacenter,4.862779817282273
5,"child""",4.862779817282273
6,whhlpa,4.862779817282273
7,"""pro-choice""",4.862779817282273
8,ibis,4.862779817282273
9,abortions,4.618573444907998
10,incest,4.149539615558391
11,clinics,4.149539615558391
12,"abortion""",4.149539615558391
13,parenthood,4.0536791003404
14,induced,3.903109626670853
15,"""pro-life""",3.7283040931476203
16,provider,3.674088755635893
17,rounds,3.674088755635893
18,pregnancy,3.3934822829335305
19,maternal,3.190713678396023
20,pregnant,3.190713678396023
21,infant,3.188666290825288
22,abortion,3.131262310051861
23,reproductive,3.015690044429438
24,counseling,2.6845268710800916
25,anti-abortion,2.6787644548385408
26,planned,2.6071576403775287
27,viewpoint,2.5548676678193107
28,dakota,2.4879828933461887
29,aged,2.3685403462164514
30,materials,2.3033941082389453
31,doctors,2.2752207528325745
32,informed,2.1777022656678136
33,falls,2.16637763903502
34,implies,2.1375095653029876
35,sioux,2.019354816776252
36,mortality,1.9669028492725251
37,idaho,1.8039462888885647
38,wade,1.6921048449651588
39,fewer,1.6053773829097537
40,drive,1.5828597288198043
41,medical,1.5662313879875647
42,woman,1.4612726699293592
43,women,0.8707826928139064
44,south,4.733725540357609e-05
45,rates,3.3614323426754156e-05
46,consent,2.907806596203816e-05
47,legislature,2.8788992308236102e-05
48,ballot,2.8581673845662093e-05
49,health,2.693613483501235e-05
