,word,relevance_score
0,fetal,5.431441413655774
1,clinics,5.275708985735929
2,heartbeat,5.039638001051484
3,fertilization,4.9805126484594515
4,"""unborn",4.9805126484594515
5,"child""",4.9805126484594515
6,guttmacher,4.9805126484594515
7,"""pro-choice""",4.9805126484594515
8,ibis,4.9805126484594515
9,hemorrhage,4.9805126484594515
10,clinic,4.728443247345564
11,abortions,4.462602454960307
12,"abortion""",4.26829752206701
13,"""pro-life""",3.8480036968745073
14,complications,3.8480036968745073
15,pregnancy,3.512450197788973
16,reproductive,3.3814692842994893
17,maternal,3.3123015172947863
18,pregnant,3.3123015172947863
19,infant,3.3087324348452367
20,memphis,3.1865963437433624
21,abortion,3.1325110392898097
22,aged,2.6922318710722024
23,viewpoint,2.680846745377761
24,bans,2.5648115398421476
25,wade,2.456561043104178
26,tennessee,2.4165670688977716
27,delayed,2.2695883297358845
28,implies,2.2695883297358845
29,weeks,2.158404411167661
30,mortality,2.1031769022945697
31,excessive,2.0263336457824273
32,filed,1.444449354128152
33,tried,1.412610040143955
34,fewer,1.299444599167592
35,women,0.849394294859777
36,rates,3.6518373417784336e-05
37,illegal,3.272327729615077e-05
38,supporting,2.712651795140878e-05
39,woman,2.688141604213945e-05
40,failed,2.5779158277610783e-05
41,health,2.313016198082183e-05
42,pass,2.0441194787098363e-05
43,medical,1.994944410838345e-05
44,privileges,1.5379740878723032e-05
45,overturned,1.5007466365971286e-05
46,protest,1.4635593212390003e-05
47,light,1.4264095123227052e-05
48,leave,1.4264095123227052e-05
49,alternative,1.3398571358458825e-05
