,word,relevance_score
0,menstrual,6.106687931762162
1,clinics,5.409907790007246
2,utahns,5.375212785254665
3,incest,5.219427611086931
4,deseret,4.924313315468701
5,newshinckley,4.924313315468701
6,mothers’,4.924313315468701
7,"""elective",4.924313315468701
8,"""unborn",4.924313315468701
9,"child""",4.924313315468701
10,pads,4.924313315468701
11,"""abortion",4.924313315468701
12,ibis,4.924313315468701
13,"""pro-choice""",4.924313315468701
14,tampons,4.924313315468701
15,pregnancies,4.671992370170226
16,clinic,4.671992370170226
17,abortions,4.552046634979316
18,"abortion""",4.211633015726814
19,pregnancy,4.055652694839161
20,fetus,3.79091287487847
21,"""pro-life""",3.79091287487847
22,synod,3.79091287487847
23,hygiene,3.79091287487847
24,provider,3.254359679043684
25,maternal,3.254359679043684
26,infant,3.251253621077837
27,reproductive,3.0780406705289853
28,abortion,3.076873797572709
29,parenthood,2.919603399709167
30,lutheran,2.620948442757935
31,viewpoint,2.620948442757935
32,utah,2.575992922879959
33,performed,2.574708501630751
34,rape,2.5706316855103974
35,aged,2.4315493466415843
36,viable,2.298995837470287
37,implies,2.2070304319650362
38,mortality,2.038832502061768
39,latter-day,1.886224193066025
40,protest,1.8178839988042896
41,wade,1.7619336070271931
42,doctors,1.7440797022574748
43,saints,1.5973546502869727
44,exceptions,1.5266134131302447
45,deaths,1.3461384157709217
46,planned,1.313665540491159
47,women,1.0004649207633143
48,health,4.9599674050685985e-05
49,rates,3.589182167859991e-05
