,word,relevance_score
0,clinics,5.036975689054206
1,"""pro-choice""",4.977896661096582
2,guttmacher,4.977896661096582
3,ibis,4.977896661096582
4,"""unborn",4.977896661096582
5,"child""",4.977896661096582
6,clinic,4.725545707561538
7,abortions,4.289429222723148
8,donovan,4.265712189958664
9,megan,4.265712189958664
10,"abortion""",4.265712189958664
11,"""pro-life""",3.8454444974096647
12,infant,3.6300663049927135
13,nurse,3.5448341022497245
14,pregnancy,3.5097212461606655
15,reproductive,3.3790158392949867
16,maternal,3.309791319935284
17,pregnant,3.309791319935284
18,kyle,3.3057937114202205
19,abortion,3.0639526110260227
20,viewpoint,2.6784412767261867
21,mortality,2.6486365773497913
22,bans,2.562435932661422
23,aged,2.4869347321327537
24,implies,2.2673172889477287
25,vermont,2.056953554593535
26,funded,1.4999577288218502
27,deaths,1.409431114009056
28,fewer,1.2990055864264403
29,medical,1.1340303543301171
30,rates,0.9193940547432428
31,women,7.139522746279421e-05
32,woman,2.681831644632341e-05
33,access,2.29960533127517e-05
34,medicaid,1.6624992083215274e-05
35,clearly,1.6375491382647752e-05
36,parents,1.5752033489775414e-05
37,manager,1.5627392001393234e-05
38,relation,1.5128991868131905e-05
39,leave,1.425742498497868e-05
40,light,1.425742498497868e-05
41,alternative,1.3386654958930405e-05
42,health,1.287933008395698e-05
43,lowest,1.2268248062019619e-05
44,terms,1.1907328812942004e-05
45,proposal,1.1647465310451552e-05
46,adults,1.139926210046541e-05
47,seeking,1.1275183940994734e-05
48,services,1.0514740769098522e-05
49,pass,1.0407072160441848e-05
