,word,relevance_score
0,menstrual,6.15332402730677
1,clinics,5.754043121548552
2,clinic,5.4565998538912055
3,ibis,4.971558512764173
4,"""pro-choice""",4.971558512764173
5,"child""",4.971558512764173
6,"""unborn",4.971558512764173
7,pads,4.971558512764173
8,tampons,4.971558512764173
9,bigelow,4.971558512764173
10,abortion-specific,4.971558512764173
11,abortions,4.599134988271834
12,"abortion""",4.259342939839121
13,therapeutic,4.259342939839121
14,pregnancy,4.241984182803087
15,trimester,4.012045177463129
16,"""pro-life""",3.8390442094529154
17,hygiene,3.8390442094529154
18,arson,3.53840147402566
19,induced,3.53840147402566
20,bans,3.3947759220230833
21,maternal,3.303324343825389
22,infant,3.2989567760765772
23,abortion,3.179292203073103
24,reproductive,3.125489344740543
25,psychiatric,2.9445658879405903
26,anti-abortion,2.789457037934713
27,aged,2.6824434897165914
28,viewpoint,2.671806202306043
29,mortality,2.641713532703159
30,parenthood,2.4496456610029274
31,implies,2.260433146805305
32,examine,2.260433146805305
33,requests,2.174817791500061
34,virginia,1.1541724336722896
35,women,0.9161087659106949
36,rates,3.64535543597223e-05
37,health,3.242842903998716e-05
38,woman,2.693590363337992e-05
39,attacks,2.5950109418840363e-05
40,fewer,2.395971659415769e-05
41,banned,2.3220232634249552e-05
42,deaths,2.1987880878581172e-05
43,consent,2.0262790642880447e-05
44,medical,2.00163623489036e-05
45,legal,1.9873591633715425e-05
46,advertising,1.7164784811491484e-05
47,eighteen,1.6918220372668762e-05
48,damage,1.6671657989943415e-05
49,medicaid,1.6671657989943415e-05
