,word,relevance_score
0,menstrual,6.1565529733903
1,clinics,5.7570932896515
2,clinic,5.619536077943864
3,tampons,4.975110583041775
4,pads,4.975110583041775
5,ibis,4.975110583041775
6,"""unborn",4.975110583041775
7,"""pro-choice""",4.975110583041775
8,"child""",4.975110583041775
9,viability,4.309545215826626
10,"abortion""",4.262923980823936
11,abortions,4.077596303818348
12,fetus,3.8426525546501784
13,hygiene,3.8426525546501784
14,"""pro-life""",3.8426525546501784
15,pregnancy,3.5061471981646215
16,reproductive,3.3751070856566554
17,maternal,3.3069889313585694
18,infant,3.3026266011907675
19,abortion,3.184738513407573
20,parenthood,2.97147363118615
21,viewpoint,2.6756074637035145
22,viable,2.3556168802711968
23,implies,2.2644349092986094
24,wade,2.1900399232846817
25,mortality,2.0980779398242464
26,anti-abortion,1.8771739489084378
27,funded,1.4967695066273885
28,woman,1.3923894269379908
29,planned,1.380797272015096
30,fewer,1.2958293755953527
31,medical,1.1305022230768325
32,legal,0.7717314447031944
33,washington,7.501044239350441e-05
34,women,7.053950764682865e-05
35,rates,3.6348553399071805e-05
36,health,2.2366175144888544e-05
37,medicaid,1.666018041184465e-05
38,supplies,1.6536449785000544e-05
39,aged,1.6165243950995593e-05
40,leave,1.4308909610150859e-05
41,light,1.4308909610150859e-05
42,alternative,1.3442453796702209e-05
43,access,1.3038890872727081e-05
44,said,1.2983146285187303e-05
45,provision,1.2823495603698391e-05
46,risk,1.2699698043374234e-05
47,deaths,1.1956872581825096e-05
48,terms,1.1624054245973201e-05
49,adults,1.1461618656026843e-05
